"","group","country","units","year","amount"
"1","Total live animals ","Canada","Million dollars","2023","1808.5"
"2","Total live animals ","Canada","Million dollars","2022","1733.6"
"3","Total live animals ","Canada","Million dollars","2021","1449.1"
"4","Total live animals ","Canada","Million dollars","2020","1151.5999999999999"
"5","Total live animals ","Canada","Million dollars","2019","1296.7"
"6","Total live animals ","Canada","Million dollars","2018","1129.7"
"7","Total live animals ","Canada","Million dollars","2017","1225.8"
"8","Total live animals ","Canada","Million dollars","2016","1406.1"
"9","Total live animals ","Canada","Million dollars","2015","1711.8"
"10","Total live animals ","Canada","Million dollars","2014","2207.4"
"11","Total live animals ","Canada","Million dollars","2013","1640.1"
"12","Total live animals ","Canada","Million dollars","2012","1432.1"
"13","Total live animals ","Canada","Million dollars","2011","1227.8"
"14","Total live animals ","Canada","Million dollars","2010","1444.8"
"15","Total live animals ","Canada","Million dollars","2009","1244.5"
"16","Total live animals ","Canada","Million dollars","2008","1920.7"
"17","Total live animals ","Canada","Million dollars","2007","2069.1999999999998"
"18","Total live animals ","Canada","Million dollars","2006","1616.5"
"19","Total live animals ","Canada","Million dollars","2005","1134.9000000000001"
"20","Total live animals ","Canada","Million dollars","2004","560.1"
"21","Total live animals ","Canada","Million dollars","2003","784.3"
"22","Total live animals ","Canada","Million dollars","2002","1394.8"
"23","Total live animals ","Canada","Million dollars","2001","1343.5"
"24","Total live animals ","Canada","Million dollars","2000","995.9"
"25","Total live animals ","Canada","Million dollars","1999","876.9"
"26","Total live animals ","Mexico","Million dollars","2023","1121.9000000000001"
"27","Total live animals ","Mexico","Million dollars","2022","635.5"
"28","Total live animals ","Mexico","Million dollars","2021","754.5"
"29","Total live animals ","Mexico","Million dollars","2020","929.9"
"30","Total live animals ","Mexico","Million dollars","2019","881"
"31","Total live animals ","Mexico","Million dollars","2018","827"
"32","Total live animals ","Mexico","Million dollars","2017","715.1"
"33","Total live animals ","Mexico","Million dollars","2016","584.6"
"34","Total live animals ","Mexico","Million dollars","2015","881.7"
"35","Total live animals ","Mexico","Million dollars","2014","738.5"
"36","Total live animals ","Mexico","Million dollars","2013","508.3"
"37","Total live animals ","Mexico","Million dollars","2012","716.9"
"38","Total live animals ","Mexico","Million dollars","2011","616.79999999999995"
"39","Total live animals ","Mexico","Million dollars","2010","522.20000000000005"
"40","Total live animals ","Mexico","Million dollars","2009","381"
"41","Total live animals ","Mexico","Million dollars","2008","298.3"
"42","Total live animals ","Mexico","Million dollars","2007","475.4"
"43","Total live animals ","Mexico","Million dollars","2006","524.20000000000005"
"44","Total live animals ","Mexico","Million dollars","2005","515.5"
"45","Total live animals ","Mexico","Million dollars","2004","541"
"46","Total live animals ","Mexico","Million dollars","2003","469.9"
"47","Total live animals ","Mexico","Million dollars","2002","300.5"
"48","Total live animals ","Mexico","Million dollars","2001","407.9"
"49","Total live animals ","Mexico","Million dollars","2000","405.3"
"50","Total live animals ","Mexico","Million dollars","1999","292.2"
"51","Total live animals ","Rest of world","Million dollars","2023","0"
"52","Total live animals ","Rest of world","Million dollars","2022","0"
"53","Total live animals ","Rest of world","Million dollars","2021","0"
