"","group","country","units","year","amount"
"1","Total beverages ","Mexico","Million dollars","2023","6739.8"
"2","Total beverages ","Mexico","Million dollars","2022","6332.8"
"3","Total beverages ","Mexico","Million dollars","2021","5724.3"
"4","Total beverages ","Mexico","Million dollars","2020","4926.6000000000004"
"5","Total beverages ","Mexico","Million dollars","2019","4427"
"6","Total beverages ","Mexico","Million dollars","2018","4019.1"
"7","Total beverages ","Mexico","Million dollars","2017","3687.9"
"8","Total beverages ","Mexico","Million dollars","2016","3428"
"9","Total beverages ","Mexico","Million dollars","2015","3051.5"
"10","Total beverages ","Mexico","Million dollars","2014","2788.6"
"11","Total beverages ","Mexico","Million dollars","2013","2246.6999999999998"
"12","Total beverages ","Mexico","Million dollars","2012","2111.1"
"13","Total beverages ","Mexico","Million dollars","2011","1955.3"
"14","Total beverages ","Mexico","Million dollars","2010","1860.5"
"15","Total beverages ","Mexico","Million dollars","2009","1764.7"
"16","Total beverages ","Mexico","Million dollars","2008","1832.3"
"17","Total beverages ","Mexico","Million dollars","2007","1878.5"
"18","Total beverages ","Mexico","Million dollars","2006","1861.9"
"19","Total beverages ","Mexico","Million dollars","2005","1570.8"
"20","Total beverages ","Mexico","Million dollars","2004","1361"
"21","Total beverages ","Mexico","Million dollars","2003","1256.7"
"22","Total beverages ","Mexico","Million dollars","2002","1182.2"
"23","Total beverages ","Mexico","Million dollars","2001","1035.9000000000001"
"24","Total beverages ","Mexico","Million dollars","2000","889"
"25","Total beverages ","Mexico","Million dollars","1999","763.7"
"26","Total beverages ","Italy","Million dollars","2023","2744.7"
"27","Total beverages ","Italy","Million dollars","2022","2879.2"
"28","Total beverages ","Italy","Million dollars","2021","2847.3"
"29","Total beverages ","Italy","Million dollars","2020","2486.8000000000002"
"30","Total beverages ","Italy","Million dollars","2019","2409.1"
"31","Total beverages ","Italy","Million dollars","2018","2370.6999999999998"
"32","Total beverages ","Italy","Million dollars","2017","2210.5"
"33","Total beverages ","Italy","Million dollars","2016","2116"
"34","Total beverages ","Italy","Million dollars","2015","2005.4"
"35","Total beverages ","Italy","Million dollars","2014","1984.7"
"36","Total beverages ","Italy","Million dollars","2013","1858.5"
"37","Total beverages ","Italy","Million dollars","2012","1700.2"
"38","Total beverages ","Italy","Million dollars","2011","1692.5"
"39","Total beverages ","Italy","Million dollars","2010","1448.7"
"40","Total beverages ","Italy","Million dollars","2009","1343.6"
"41","Total beverages ","Italy","Million dollars","2008","1445.8"
"42","Total beverages ","Italy","Million dollars","2007","1410.8"
"43","Total beverages ","Italy","Million dollars","2006","1271.5"
"44","Total beverages ","Italy","Million dollars","2005","1168"
"45","Total beverages ","Italy","Million dollars","2004","1041.8"
"46","Total beverages ","Italy","Million dollars","2003","988.7"
"47","Total beverages ","Italy","Million dollars","2002","827.3"
"48","Total beverages ","Italy","Million dollars","2001","668.8"
"49","Total beverages ","Italy","Million dollars","2000","627.70000000000005"
"50","Total beverages ","Italy","Million dollars","1999","581.70000000000005"
"51","Total beverages ","France","Million dollars","2023","2740"
"52","Total beverages ","France","Million dollars","2022","2922.2"
"53","Total beverages ","France","Million dollars","2021","2785.9"
"54","Total beverages ","France","Million dollars","2020","1930.7"
"55","Total beverages ","France","Million dollars","2019","2367.6"
"56","Total beverages ","France","Million dollars","2018","2292.1"
"57","Total beverages ","France","Million dollars","2017","2065.4"
"58","Total beverages ","France","Million dollars","2016","1781.5"
"59","Total beverages ","France","Million dollars","2015","1698"
"60","Total beverages ","France","Million dollars","2014","1653.9"
"61","Total beverages ","France","Million dollars","2013","1560"
"62","Total beverages ","France","Million dollars","2012","1489"
"63","Total beverages ","France","Million dollars","2011","1352.3"
"64","Total beverages ","France","Million dollars","2010","1106.8"
"65","Total beverages ","France","Million dollars","2009","1069.3"
"66","Total beverages ","France","Million dollars","2008","1530"
"67","Total beverages ","France","Million dollars","2007","1557.5"
"68","Total beverages ","France","Million dollars","2006","1389.3"
"69","Total beverages ","France","Million dollars","2005","1178.4000000000001"
"70","Total beverages ","France","Million dollars","2004","1127"
