"","group","country","units","year","amount"
"1","Total cocoa and products ","Canada","Million dollars","2023","2032.2"
"2","Total cocoa and products ","Canada","Million dollars","2022","1933"
"3","Total cocoa and products ","Canada","Million dollars","2021","1688.4"
"4","Total cocoa and products ","Canada","Million dollars","2020","1544.5"
"5","Total cocoa and products ","Canada","Million dollars","2019","1518.7"
"6","Total cocoa and products ","Canada","Million dollars","2018","1403.1"
"7","Total cocoa and products ","Canada","Million dollars","2017","1454.5"
"8","Total cocoa and products ","Canada","Million dollars","2016","1445.8"
"9","Total cocoa and products ","Canada","Million dollars","2015","1321"
"10","Total cocoa and products ","Canada","Million dollars","2014","1177.5"
"11","Total cocoa and products ","Canada","Million dollars","2013","1046.0999999999999"
"12","Total cocoa and products ","Canada","Million dollars","2012","989.5"
"13","Total cocoa and products ","Canada","Million dollars","2011","940.7"
"14","Total cocoa and products ","Canada","Million dollars","2010","872.4"
"15","Total cocoa and products ","Canada","Million dollars","2009","647.4"
"16","Total cocoa and products ","Canada","Million dollars","2008","758.5"
"17","Total cocoa and products ","Canada","Million dollars","2007","725.9"
"18","Total cocoa and products ","Canada","Million dollars","2006","708.9"
"19","Total cocoa and products ","Canada","Million dollars","2005","712.5"
"20","Total cocoa and products ","Canada","Million dollars","2004","721.7"
"21","Total cocoa and products ","Canada","Million dollars","2003","705.4"
"22","Total cocoa and products ","Canada","Million dollars","2002","525.9"
"23","Total cocoa and products ","Canada","Million dollars","2001","456.2"
"24","Total cocoa and products ","Canada","Million dollars","2000","391.1"
"25","Total cocoa and products ","Canada","Million dollars","1999","346.3"
"26","Total cocoa and products ","Cote d'Ivoire","Million dollars","2023","701.9"
"27","Total cocoa and products ","Cote d'Ivoire","Million dollars","2022","773.8"
"28","Total cocoa and products ","Cote d'Ivoire","Million dollars","2021","1002.8"
"29","Total cocoa and products ","Cote d'Ivoire","Million dollars","2020","771.8"
"30","Total cocoa and products ","Cote d'Ivoire","Million dollars","2019","656.3"
"31","Total cocoa and products ","Cote d'Ivoire","Million dollars","2018","733.5"
"32","Total cocoa and products ","Cote d'Ivoire","Million dollars","2017","895.3"
"33","Total cocoa and products ","Cote d'Ivoire","Million dollars","2016","1035.3"
"34","Total cocoa and products ","Cote d'Ivoire","Million dollars","2015","913.5"
"35","Total cocoa and products ","Cote d'Ivoire","Million dollars","2014","933.4"
"36","Total cocoa and products ","Cote d'Ivoire","Million dollars","2013","806.7"
