"","group","country","units","year","amount"
"1","Total coffee, tea, and spices","Colombia","Million dollars","2023","1560.9"
"2","Total coffee, tea, and spices","Colombia","Million dollars","2022","2132"
"3","Total coffee, tea, and spices","Colombia","Million dollars","2021","1485.3"
"4","Total coffee, tea, and spices","Colombia","Million dollars","2020","1221.8"
"5","Total coffee, tea, and spices","Colombia","Million dollars","2019","1267.9000000000001"
"6","Total coffee, tea, and spices","Colombia","Million dollars","2018","1254"
"7","Total coffee, tea, and spices","Colombia","Million dollars","2017","1367.9"
"8","Total coffee, tea, and spices","Colombia","Million dollars","2016","1194.9000000000001"
"9","Total coffee, tea, and spices","Colombia","Million dollars","2015","1311.2"
"10","Total coffee, tea, and spices","Colombia","Million dollars","2014","1243.7"
"11","Total coffee, tea, and spices","Colombia","Million dollars","2013","1026.2"
"12","Total coffee, tea, and spices","Colombia","Million dollars","2012","999.5"
"13","Total coffee, tea, and spices","Colombia","Million dollars","2011","1441.9"
"14","Total coffee, tea, and spices","Colombia","Million dollars","2010","918.1"
"15","Total coffee, tea, and spices","Colombia","Million dollars","2009","789"
"16","Total coffee, tea, and spices","Colombia","Million dollars","2008","853.7"
"17","Total coffee, tea, and spices","Colombia","Million dollars","2007","706.8"
"18","Total coffee, tea, and spices","Colombia","Million dollars","2006","629.9"
"19","Total coffee, tea, and spices","Colombia","Million dollars","2005","632.70000000000005"
"20","Total coffee, tea, and spices","Colombia","Million dollars","2004","410"
"21","Total coffee, tea, and spices","Colombia","Million dollars","2003","377.3"
"22","Total coffee, tea, and spices","Colombia","Million dollars","2002","331.4"
"23","Total coffee, tea, and spices","Colombia","Million dollars","2001","318.8"
"24","Total coffee, tea, and spices","Colombia","Million dollars","2000","451.6"
"25","Total coffee, tea, and spices","Colombia","Million dollars","1999","519.29999999999995"
"26","Total coffee, tea, and spices","Brazil","Million dollars","2023","1542.6"
"27","Total coffee, tea, and spices","Brazil","Million dollars","2022","2266.8000000000002"
"28","Total coffee, tea, and spices","Brazil","Million dollars","2021","1378.7"
"29","Total coffee, tea, and spices","Brazil","Million dollars","2020","1216.7"
"30","Total coffee, tea, and spices","Brazil","Million dollars","2019","1171.5999999999999"
"31","Total coffee, tea, and spices","Brazil","Million dollars","2018","1122.4000000000001"
"32","Total coffee, tea, and spices","Brazil","Million dollars","2017","1258.5999999999999"
"33","Total coffee, tea, and spices","Brazil","Million dollars","2016","1277.8"
"34","Total coffee, tea, and spices","Brazil","Million dollars","2015","1585.6"
"35","Total coffee, tea, and spices","Brazil","Million dollars","2014","1552.7"
"36","Total coffee, tea, and spices","Brazil","Million dollars","2013","1291.0999999999999"
"37","Total coffee, tea, and spices","Brazil","Million dollars","2012","1515.4"
"38","Total coffee, tea, and spices","Brazil","Million dollars","2011","2111.4"
"39","Total coffee, tea, and spices","Brazil","Million dollars","2010","1209.9000000000001"
"40","Total coffee, tea, and spices","Brazil","Million dollars","2009","867"
"41","Total coffee, tea, and spices","Brazil","Million dollars","2008","863.2"
"42","Total coffee, tea, and spices","Brazil","Million dollars","2007","746"
"43","Total coffee, tea, and spices","Brazil","Million dollars","2006","642"
"44","Total coffee, tea, and spices","Brazil","Million dollars","2005","562.5"
"45","Total coffee, tea, and spices","Brazil","Million dollars","2004","394"
"46","Total coffee, tea, and spices","Brazil","Million dollars","2003","339.5"
"47","Total coffee, tea, and spices","Brazil","Million dollars","2002","259.8"
"48","Total coffee, tea, and spices","Brazil","Million dollars","2001","233.3"
"49","Total coffee, tea, and spices","Brazil","Million dollars","2000","336.4"
"50","Total coffee, tea, and spices","Brazil","Million dollars","1999","553.29999999999995"
"51","Total coffee, tea, and spices","Switzerland","Million dollars","2023","1123.4000000000001"
"52","Total coffee, tea, and spices","Switzerland","Million dollars","2022","854.1"
"53","Total coffee, tea, and spices","Switzerland","Million dollars","2021","790.9"
"54","Total coffee, tea, and spices","Switzerland","Million dollars","2020","454.5"
"55","Total coffee, tea, and spices","Switzerland","Million dollars","2019","360.9"
"56","Total coffee, tea, and spices","Switzerland","Million dollars","2018","238.2"
"57","Total coffee, tea, and spices","Switzerland","Million dollars","2017","186"
"58","Total coffee, tea, and spices","Switzerland","Million dollars","2016","115.4"
"59","Total coffee, tea, and spices","Switzerland","Million dollars","2015","118.4"
"60","Total coffee, tea, and spices","Switzerland","Million dollars","2014","59.5"
"61","Total coffee, tea, and spices","Switzerland","Million dollars","2013","49.1"
"62","Total coffee, tea, and spices","Switzerland","Million dollars","2012","66.400000000000006"
"63","Total coffee, tea, and spices","Switzerland","Million dollars","2011","84.7"
"64","Total coffee, tea, and spices","Switzerland","Million dollars","2010","62.2"
"65","Total coffee, tea, and spices","Switzerland","Million dollars","2009","54.5"
"66","Total coffee, tea, and spices","Switzerland","Million dollars","2008","38.6"
"67","Total coffee, tea, and spices","Switzerland","Million dollars","2007","35.5"
"68","Total coffee, tea, and spices","Switzerland","Million dollars","2006","37.9"
