"","group","country","units","year","amount"
"1","Total dairy products ","Italy","Million dollars","2023","473.4"
"2","Total dairy products ","Italy","Million dollars","2022","449.8"
"3","Total dairy products ","Italy","Million dollars","2021","423.6"
"4","Total dairy products ","Italy","Million dollars","2020","294"
"5","Total dairy products ","Italy","Million dollars","2019","375.4"
"6","Total dairy products ","Italy","Million dollars","2018","327.10000000000002"
"7","Total dairy products ","Italy","Million dollars","2017","304.2"
"8","Total dairy products ","Italy","Million dollars","2016","308"
"9","Total dairy products ","Italy","Million dollars","2015","304.89999999999998"
"10","Total dairy products ","Italy","Million dollars","2014","308.3"
"11","Total dairy products ","Italy","Million dollars","2013","310.3"
"12","Total dairy products ","Italy","Million dollars","2012","301.60000000000002"
"13","Total dairy products ","Italy","Million dollars","2011","311.8"
"14","Total dairy products ","Italy","Million dollars","2010","277.39999999999998"
"15","Total dairy products ","Italy","Million dollars","2009","267.39999999999998"
"16","Total dairy products ","Italy","Million dollars","2008","326.8"
"17","Total dairy products ","Italy","Million dollars","2007","302"
"18","Total dairy products ","Italy","Million dollars","2006","242"
"19","Total dairy products ","Italy","Million dollars","2005","221"
"20","Total dairy products ","Italy","Million dollars","2004","223.7"
"21","Total dairy products ","Italy","Million dollars","2003","210.6"
"22","Total dairy products ","Italy","Million dollars","2002","165.3"
"23","Total dairy products ","Italy","Million dollars","2001","162.5"
"24","Total dairy products ","Italy","Million dollars","2000","145.30000000000001"
"25","Total dairy products ","Italy","Million dollars","1999","146"
"26","Total dairy products ","Ireland","Million dollars","2023","436.7"
"27","Total dairy products ","Ireland","Million dollars","2022","399.6"
"28","Total dairy products ","Ireland","Million dollars","2021","345"
"29","Total dairy products ","Ireland","Million dollars","2020","252.9"
"30","Total dairy products ","Ireland","Million dollars","2019","260.10000000000002"
"31","Total dairy products ","Ireland","Million dollars","2018","224.1"
"32","Total dairy products ","Ireland","Million dollars","2017","145.69999999999999"
"33","Total dairy products ","Ireland","Million dollars","2016","109.9"
"34","Total dairy products ","Ireland","Million dollars","2015","90.7"
"35","Total dairy products ","Ireland","Million dollars","2014","75.099999999999994"
"36","Total dairy products ","Ireland","Million dollars","2013","57.2"
"37","Total dairy products ","Ireland","Million dollars","2012","54.6"
"38","Total dairy products ","Ireland","Million dollars","2011","42.6"
"39","Total dairy products ","Ireland","Million dollars","2010","41.1"
"40","Total dairy products ","Ireland","Million dollars","2009","39.200000000000003"
"41","Total dairy products ","Ireland","Million dollars","2008","46.5"
"42","Total dairy products ","Ireland","Million dollars","2007","43.9"
"43","Total dairy products ","Ireland","Million dollars","2006","40.6"
"44","Total dairy products ","Ireland","Million dollars","2005","44.5"
"45","Total dairy products ","Ireland","Million dollars","2004","41.3"
"46","Total dairy products ","Ireland","Million dollars","2003","28.6"
"47","Total dairy products ","Ireland","Million dollars","2002","28.7"
"48","Total dairy products ","Ireland","Million dollars","2001","23.1"
"49","Total dairy products ","Ireland","Million dollars","2000","34.9"
"50","Total dairy products ","Ireland","Million dollars","1999","42.6"
"51","Total dairy products ","New Zealand","Million dollars","2023","402.7"
"52","Total dairy products ","New Zealand","Million dollars","2022","332.7"
"53","Total dairy products ","New Zealand","Million dollars","2021","279.5"
"54","Total dairy products ","New Zealand","Million dollars","2020","263.39999999999998"
"55","Total dairy products ","New Zealand","Million dollars","2019","243.7"
"56","Total dairy products ","New Zealand","Million dollars","2018","249.9"
"57","Total dairy products ","New Zealand","Million dollars","2017","286.89999999999998"
"58","Total dairy products ","New Zealand","Million dollars","2016","340.3"
"59","Total dairy products ","New Zealand","Million dollars","2015","371.1"
"60","Total dairy products ","New Zealand","Million dollars","2014","344.5"
"61","Total dairy products ","New Zealand","Million dollars","2013","256.10000000000002"
"62","Total dairy products ","New Zealand","Million dollars","2012","343.9"
"63","Total dairy products ","New Zealand","Million dollars","2011","269.89999999999998"
"64","Total dairy products ","New Zealand","Million dollars","2010","238.8"
"65","Total dairy products ","New Zealand","Million dollars","2009","261"
"66","Total dairy products ","New Zealand","Million dollars","2008","313"
"67","Total dairy products ","New Zealand","Million dollars","2007","256.2"
"68","Total dairy products ","New Zealand","Million dollars","2006","277.8"
"69","Total dairy products ","New Zealand","Million dollars","2005","251.6"
"70","Total dairy products ","New Zealand","Million dollars","2004","242.9"
"71","Total dairy products ","New Zealand","Million dollars","2003","204.9"
"72","Total dairy products ","New Zealand","Million dollars","2002","188.8"
