"","group","country","units","year","amount"
"1","Total fish and shellfish ","Canada","Million dollars","2023","3549.4"
"2","Total fish and shellfish ","Canada","Million dollars","2022","4112.3999999999996"
"3","Total fish and shellfish ","Canada","Million dollars","2021","4859.7"
"4","Total fish and shellfish ","Canada","Million dollars","2020","2983.4"
"5","Total fish and shellfish ","Canada","Million dollars","2019","3354.7"
"6","Total fish and shellfish ","Canada","Million dollars","2018","3231.5"
"7","Total fish and shellfish ","Canada","Million dollars","2017","3239.3"
"8","Total fish and shellfish ","Canada","Million dollars","2016","3183.7"
"9","Total fish and shellfish ","Canada","Million dollars","2015","2953.5"
"10","Total fish and shellfish ","Canada","Million dollars","2014","2743.7"
"11","Total fish and shellfish ","Canada","Million dollars","2013","2630.5"
"12","Total fish and shellfish ","Canada","Million dollars","2012","2493.8000000000002"
"13","Total fish and shellfish ","Canada","Million dollars","2011","2507.6999999999998"
"14","Total fish and shellfish ","Canada","Million dollars","2010","2305.8000000000002"
"15","Total fish and shellfish ","Canada","Million dollars","2009","2005.5"
"16","Total fish and shellfish ","Canada","Million dollars","2008","2251.1"
"17","Total fish and shellfish ","Canada","Million dollars","2007","2200.3000000000002"
"18","Total fish and shellfish ","Canada","Million dollars","2006","2178.4"
"19","Total fish and shellfish ","Canada","Million dollars","2005","2145.5"
"20","Total fish and shellfish ","Canada","Million dollars","2004","2109"
"21","Total fish and shellfish ","Canada","Million dollars","2003","2125.6"
"22","Total fish and shellfish ","Canada","Million dollars","2002","2043"
"23","Total fish and shellfish ","Canada","Million dollars","2001","1941.4"
"24","Total fish and shellfish ","Canada","Million dollars","2000","1910.7"
"25","Total fish and shellfish ","Canada","Million dollars","1999","1708.8"
"26","Total fish and shellfish ","Chile","Million dollars","2023","3235.7"
"27","Total fish and shellfish ","Chile","Million dollars","2022","3302.3"
"28","Total fish and shellfish ","Chile","Million dollars","2021","2707.2"
"29","Total fish and shellfish ","Chile","Million dollars","2020","2070.8000000000002"
"30","Total fish and shellfish ","Chile","Million dollars","2019","2129.3000000000002"
"31","Total fish and shellfish ","Chile","Million dollars","2018","2051.9"
"32","Total fish and shellfish ","Chile","Million dollars","2017","1850.2"
"33","Total fish and shellfish ","Chile","Million dollars","2016","1549.8"
"34","Total fish and shellfish ","Chile","Million dollars","2015","1367"
"35","Total fish and shellfish ","Chile","Million dollars","2014","1643.6"
"36","Total fish and shellfish ","Chile","Million dollars","2013","1367.3"
"37","Total fish and shellfish ","Chile","Million dollars","2012","1017.9"
"38","Total fish and shellfish ","Chile","Million dollars","2011","897.2"
"39","Total fish and shellfish ","Chile","Million dollars","2010","592.4"
"40","Total fish and shellfish ","Chile","Million dollars","2009","731.1"
"41","Total fish and shellfish ","Chile","Million dollars","2008","981.7"
"42","Total fish and shellfish ","Chile","Million dollars","2007","1022.4"
"43","Total fish and shellfish ","Chile","Million dollars","2006","953.1"
"44","Total fish and shellfish ","Chile","Million dollars","2005","755.5"
"45","Total fish and shellfish ","Chile","Million dollars","2004","668.8"
"46","Total fish and shellfish ","Chile","Million dollars","2003","664.7"
"47","Total fish and shellfish ","Chile","Million dollars","2002","507.7"
"48","Total fish and shellfish ","Chile","Million dollars","2001","483.6"
"49","Total fish and shellfish ","Chile","Million dollars","2000","499.2"
"50","Total fish and shellfish ","Chile","Million dollars","1999","371.2"
"51","Total fish and shellfish ","India","Million dollars","2023","2542.9"
"52","Total fish and shellfish ","India","Million dollars","2022","3015.5"
"53","Total fish and shellfish ","India","Million dollars","2021","3155.1"
"54","Total fish and shellfish ","India","Million dollars","2020","2448.6"
"55","Total fish and shellfish ","India","Million dollars","2019","2713.9"
"56","Total fish and shellfish ","India","Million dollars","2018","2350.6999999999998"
"57","Total fish and shellfish ","India","Million dollars","2017","2278.4"
"58","Total fish and shellfish ","India","Million dollars","2016","1580"
"59","Total fish and shellfish ","India","Million dollars","2015","1350.2"
"60","Total fish and shellfish ","India","Million dollars","2014","1462"
"61","Total fish and shellfish ","India","Million dollars","2013","1078.3"
"62","Total fish and shellfish ","India","Million dollars","2012","665.8"
"63","Total fish and shellfish ","India","Million dollars","2011","611"
"64","Total fish and shellfish ","India","Million dollars","2010","375.8"
"65","Total fish and shellfish ","India","Million dollars","2009","232.5"
"66","Total fish and shellfish ","India","Million dollars","2008","222.7"
"67","Total fish and shellfish ","India","Million dollars","2007","260.3"
"68","Total fish and shellfish ","India","Million dollars","2006","321.8"
"69","Total fish and shellfish ","India","Million dollars","2005","376.1"
"70","Total fish and shellfish ","India","Million dollars","2004","406.6"
"71","Total fish and shellfish ","India","Million dollars","2003","452.6"
"72","Total fish and shellfish ","India","Million dollars","2002","395.8"
"73","Total fish and shellfish ","India","Million dollars","2001","296.10000000000002"
"74","Total fish and shellfish ","India","Million dollars","2000","283.60000000000002"
"75","Total fish and shellfish ","India","Million dollars","1999","199.1"
"76","Total fish and shellfish ","Indonesia","Million dollars","2023","2002.5"
"77","Total fish and shellfish ","Indonesia","Million dollars","2022","2607.1999999999998"
"78","Total fish and shellfish ","Indonesia","Million dollars","2021","2430.8000000000002"
"79","Total fish and shellfish ","Indonesia","Million dollars","2020","2091.1999999999998"
"80","Total fish and shellfish ","Indonesia","Million dollars","2019","1851.9"
"81","Total fish and shellfish ","Indonesia","Million dollars","2018","1936.5"
"82","Total fish and shellfish ","Indonesia","Million dollars","2017","1845.1"
"83","Total fish and shellfish ","Indonesia","Million dollars","2016","1644.8"
"84","Total fish and shellfish ","Indonesia","Million dollars","2015","1673.7"
"85","Total fish and shellfish ","Indonesia","Million dollars","2014","1882.9"
"86","Total fish and shellfish ","Indonesia","Million dollars","2013","1401.1"
"87","Total fish and shellfish ","Indonesia","Million dollars","2012","1267.0999999999999"
"88","Total fish and shellfish ","Indonesia","Million dollars","2011","1174.9000000000001"
"89","Total fish and shellfish ","Indonesia","Million dollars","2010","990.1"
"90","Total fish and shellfish ","Indonesia","Million dollars","2009","911.9"
"91","Total fish and shellfish ","Indonesia","Million dollars","2008","1092.7"
"92","Total fish and shellfish ","Indonesia","Million dollars","2007","878.9"
"93","Total fish and shellfish ","Indonesia","Million dollars","2006","777.4"
"94","Total fish and shellfish ","Indonesia","Million dollars","2005","728"
"95","Total fish and shellfish ","Indonesia","Million dollars","2004","633.5"
"96","Total fish and shellfish ","Indonesia","Million dollars","2003","428"
"97","Total fish and shellfish ","Indonesia","Million dollars","2002","399"
"98","Total fish and shellfish ","Indonesia","Million dollars","2001","381.4"
"99","Total fish and shellfish ","Indonesia","Million dollars","2000","361.6"
"100","Total fish and shellfish ","Indonesia","Million dollars","1999","306.10000000000002"
"101","Total fish and shellfish ","Ecuador","Million dollars","2023","1677.7"
"102","Total fish and shellfish ","Ecuador","Million dollars","2022","1858.9"
"103","Total fish and shellfish ","Ecuador","Million dollars","2021","1633.5"
"104","Total fish and shellfish ","Ecuador","Million dollars","2020","1009.7"
"105","Total fish and shellfish ","Ecuador","Million dollars","2019","807.4"
"106","Total fish and shellfish ","Ecuador","Million dollars","2018","812.7"
"107","Total fish and shellfish ","Ecuador","Million dollars","2017","799.1"
"108","Total fish and shellfish ","Ecuador","Million dollars","2016","795.4"
"109","Total fish and shellfish ","Ecuador","Million dollars","2015","893.9"
"110","Total fish and shellfish ","Ecuador","Million dollars","2014","1151.9000000000001"
"111","Total fish and shellfish ","Ecuador","Million dollars","2013","927.1"
"112","Total fish and shellfish ","Ecuador","Million dollars","2012","868.7"
"113","Total fish and shellfish ","Ecuador","Million dollars","2011","782.7"
"114","Total fish and shellfish ","Ecuador","Million dollars","2010","648.4"
"115","Total fish and shellfish ","Ecuador","Million dollars","2009","572"
"116","Total fish and shellfish ","Ecuador","Million dollars","2008","600.9"
"117","Total fish and shellfish ","Ecuador","Million dollars","2007","570.1"
"118","Total fish and shellfish ","Ecuador","Million dollars","2006","570.5"
"119","Total fish and shellfish ","Ecuador","Million dollars","2005","523.9"
"120","Total fish and shellfish ","Ecuador","Million dollars","2004","454.6"
"121","Total fish and shellfish ","Ecuador","Million dollars","2003","486.8"
"122","Total fish and shellfish ","Ecuador","Million dollars","2002","434.8"
"123","Total fish and shellfish ","Ecuador","Million dollars","2001","391.2"
"124","Total fish and shellfish ","Ecuador","Million dollars","2000","363"
"125","Total fish and shellfish ","Ecuador","Million dollars","1999","549.4"
"126","Total fish and shellfish ","Vietnam","Million dollars","2023","1521.5"
"127","Total fish and shellfish ","Vietnam","Million dollars","2022","2194.9"
"128","Total fish and shellfish ","Vietnam","Million dollars","2021","1851.8"
"129","Total fish and shellfish ","Vietnam","Million dollars","2020","1387.5"
"130","Total fish and shellfish ","Vietnam","Million dollars","2019","1275.0999999999999"
"131","Total fish and shellfish ","Vietnam","Million dollars","2018","1565.2"
"132","Total fish and shellfish ","Vietnam","Million dollars","2017","1387.5"
"133","Total fish and shellfish ","Vietnam","Million dollars","2016","1407.9"
