"","group","type","units","year","amount"
"1","Total foods ","U.S. imports","Million dollars","2023","189153.6"
"2","Total foods ","U.S. imports","Million dollars","2022","194417.7"
"3","Total foods ","U.S. imports","Million dollars","2021","170675.7"
"4","Total foods ","U.S. imports","Million dollars","2020","144774.9"
"5","Total foods ","U.S. imports","Million dollars","2019","140428"
"6","Total foods ","U.S. imports","Million dollars","2018","138375.1"
"7","Total foods ","U.S. imports","Million dollars","2017","130066.9"
"8","Total foods ","U.S. imports","Million dollars","2016","122113.7"
"9","Total foods ","U.S. imports","Million dollars","2015","120134.9"
"10","Total foods ","U.S. imports","Million dollars","2014","118694.7"
"11","Total foods ","U.S. imports","Million dollars","2013","108742.6"
"12","Total foods ","U.S. imports","Million dollars","2012","105963"
"13","Total foods ","U.S. imports","Million dollars","2011","101943.3"
"14","Total foods ","U.S. imports","Million dollars","2010","86263.1"
"15","Total foods ","U.S. imports","Million dollars","2009","76592.800000000003"
"16","Total foods ","U.S. imports","Million dollars","2008","83927.7"
"17","Total foods ","U.S. imports","Million dollars","2007","76347.600000000006"
"18","Total foods ","U.S. imports","Million dollars","2006","70436.100000000006"
"19","Total foods ","U.S. imports","Million dollars","2005","64061.9"
"20","Total foods ","U.S. imports","Million dollars","2004","58096.3"
"21","Total foods ","U.S. imports","Million dollars","2003","52184.9"
"22","Total foods ","U.S. imports","Million dollars","2002","46434.3"
"23","Total foods ","U.S. imports","Million dollars","2001","43514"
"24","Total foods ","U.S. imports","Million dollars","2000","42956"
"25","Total foods ","U.S. imports","Million dollars","1999","41002.6"
"26","Foods","Beverages ","Million dollars","2023","17920.2"
"27","Foods","Beverages ","Million dollars","2022","18701.8"
"28","Foods","Beverages ","Million dollars","2021","18552.099999999999"
"29","Foods","Beverages ","Million dollars","2020","16124"
"30","Foods","Beverages ","Million dollars","2019","16033.3"
"31","Foods","Beverages ","Million dollars","2018","15547.5"
"32","Foods","Beverages ","Million dollars","2017","14912.8"
"33","Foods","Beverages ","Million dollars","2016","13982.2"
"34","Foods","Beverages ","Million dollars","2015","13237.9"
"35","Foods","Beverages ","Million dollars","2014","12392.2"
"36","Foods","Beverages ","Million dollars","2013","11629"
"37","Foods","Beverages ","Million dollars","2012","11240.6"
"38","Foods","Beverages ","Million dollars","2011","10482.1"
"39","Foods","Beverages ","Million dollars","2010","9587.4"
"40","Foods","Beverages ","Million dollars","2009","8989.7000000000007"
"41","Foods","Beverages ","Million dollars","2008","10177.799999999999"
"42","Foods","Beverages ","Million dollars","2007","10269.799999999999"
"43","Foods","Beverages ","Million dollars","2006","9510.4"
"44","Foods","Beverages ","Million dollars","2005","8206.1"
"45","Foods","Beverages ","Million dollars","2004","7352.9"
"46","Foods","Beverages ","Million dollars","2003","6942.7"
"47","Foods","Beverages ","Million dollars","2002","6129.3"
"48","Foods","Beverages ","Million dollars","2001","5394"
"49","Foods","Beverages ","Million dollars","2000","5104.8999999999996"
"50","Foods","Beverages ","Million dollars","1999","4718.1000000000004"
"51","Foods","Cocoa and chocolate","Million dollars","2023","6151.7"
"52","Foods","Cocoa and chocolate","Million dollars","2022","6050.1"
"53","Foods","Cocoa and chocolate","Million dollars","2021","5634.1"
"54","Foods","Cocoa and chocolate","Million dollars","2020","5051.7"
"55","Foods","Cocoa and chocolate","Million dollars","2019","4976.8999999999996"
"56","Foods","Cocoa and chocolate","Million dollars","2018","4712.3"
"57","Foods","Cocoa and chocolate","Million dollars","2017","5011.6000000000004"
"58","Foods","Cocoa and chocolate","Million dollars","2016","5080.8"
"59","Foods","Cocoa and chocolate","Million dollars","2015","4859.7"
"60","Foods","Cocoa and chocolate","Million dollars","2014","4728"
"61","Foods","Cocoa and chocolate","Million dollars","2013","4158.8"
"62","Foods","Cocoa and chocolate","Million dollars","2012","4095.7"
"63","Foods","Cocoa and chocolate","Million dollars","2011","4680.6000000000004"
"64","Foods","Cocoa and chocolate","Million dollars","2010","4295.2"
"65","Foods","Cocoa and chocolate","Million dollars","2009","3476.2"
"66","Foods","Cocoa and chocolate","Million dollars","2008","3298.8"
"67","Foods","Cocoa and chocolate","Million dollars","2007","2661.6"
"68","Foods","Cocoa and chocolate","Million dollars","2006","2659.2"
"69","Foods","Cocoa and chocolate","Million dollars","2005","2750.6"
"70","Foods","Cocoa and chocolate","Million dollars","2004","2484.4"
"71","Foods","Cocoa and chocolate","Million dollars","2003","2439.1999999999998"
"72","Foods","Cocoa and chocolate","Million dollars","2002","1760.9"
"73","Foods","Cocoa and chocolate","Million dollars","2001","1535.9"
"74","Foods","Cocoa and chocolate","Million dollars","2000","1404.5"
"75","Foods","Cocoa and chocolate","Million dollars","1999","1522.5"
"76","Foods","Coffee, tea, and spices","Million dollars","2023","11283.3"
"77","Foods","Coffee, tea, and spices","Million dollars","2022","12980.3"
"78","Foods","Coffee, tea, and spices","Million dollars","2021","9819.2000000000007"
"79","Foods","Coffee, tea, and spices","Million dollars","2020","8346.2000000000007"
"80","Foods","Coffee, tea, and spices","Million dollars","2019","8427.2999999999993"
"81","Foods","Coffee, tea, and spices","Million dollars","2018","8454.7000000000007"
"82","Foods","Coffee, tea, and spices","Million dollars","2017","9066.7000000000007"
"83","Foods","Coffee, tea, and spices","Million dollars","2016","8311.2999999999993"
"84","Foods","Coffee, tea, and spices","Million dollars","2015","8536.2000000000007"
"85","Foods","Coffee, tea, and spices","Million dollars","2014","8298.7999999999993"
"86","Foods","Coffee, tea, and spices","Million dollars","2013","7633.2"
"87","Foods","Coffee, tea, and spices","Million dollars","2012","8725.7000000000007"
"88","Foods","Coffee, tea, and spices","Million dollars","2011","9715.7999999999993"
"89","Foods","Coffee, tea, and spices","Million dollars","2010","6265"
"90","Foods","Coffee, tea, and spices","Million dollars","2009","5160.3"
"91","Foods","Coffee, tea, and spices","Million dollars","2008","5580.8"
"92","Foods","Coffee, tea, and spices","Million dollars","2007","4791.2"
"93","Foods","Coffee, tea, and spices","Million dollars","2006","4194.8999999999996"
"94","Foods","Coffee, tea, and spices","Million dollars","2005","3770.8"
"95","Foods","Coffee, tea, and spices","Million dollars","2004","3144.3"
"96","Foods","Coffee, tea, and spices","Million dollars","2003","2871.9"
"97","Foods","Coffee, tea, and spices","Million dollars","2002","2455"
"98","Foods","Coffee, tea, and spices","Million dollars","2001","2400.6999999999998"
"99","Foods","Coffee, tea, and spices","Million dollars","2000","3441.8"
"100","Foods","Coffee, tea, and spices","Million dollars","1999","3603.7"
"101","Foods","Dairy","Million dollars","2023","3044.5"
"102","Foods","Dairy","Million dollars","2022","2706.3"
"103","Foods","Dairy","Million dollars","2021","2386.1999999999998"
"104","Foods","Dairy","Million dollars","2020","2065.6"
"105","Foods","Dairy","Million dollars","2019","2128.1999999999998"
"106","Foods","Dairy","Million dollars","2018","2010.7"
"107","Foods","Dairy","Million dollars","2017","1827.4"
"108","Foods","Dairy","Million dollars","2016","1873.7"
"109","Foods","Dairy","Million dollars","2015","1893.5"
"110","Foods","Dairy","Million dollars","2014","1844.3"
"111","Foods","Dairy","Million dollars","2013","1649.1"
"112","Foods","Dairy","Million dollars","2012","1604.2"
"113","Foods","Dairy","Million dollars","2011","1502.1"
"114","Foods","Dairy","Million dollars","2010","1347.2"
"115","Foods","Dairy","Million dollars","2009","1353.4"
"116","Foods","Dairy","Million dollars","2008","1595.6"
"117","Foods","Dairy","Million dollars","2007","1500.8"
"118","Foods","Dairy","Million dollars","2006","1405.7"
"119","Foods","Dairy","Million dollars","2005","1388.4"
"120","Foods","Dairy","Million dollars","2004","1292.3"
"121","Foods","Dairy","Million dollars","2003","1110.3"
"122","Foods","Dairy","Million dollars","2002","1008.8"
"123","Foods","Dairy","Million dollars","2001","995.8"
"124","Foods","Dairy","Million dollars","2000","922.3"
"125","Foods","Dairy","Million dollars","1999","930.3"
"126","Foods","Fish and shellfish ","Million dollars","2023","24851.9"
"127","Foods","Fish and shellfish ","Million dollars","2022","29478.1"
"128","Foods","Fish and shellfish ","Million dollars","2021","27764.2"
"129","Foods","Fish and shellfish ","Million dollars","2020","21284.7"
"130","Foods","Fish and shellfish ","Million dollars","2019","21799.200000000001"
"131","Foods","Fish and shellfish ","Million dollars","2018","22274"
"132","Foods","Fish and shellfish ","Million dollars","2017","21326.2"
"133","Foods","Fish and shellfish ","Million dollars","2016","19257.8"
"134","Foods","Fish and shellfish ","Million dollars","2015","18513.599999999999"
"135","Foods","Fish and shellfish ","Million dollars","2014","20053.5"
"136","Foods","Fish and shellfish ","Million dollars","2013","17784.3"
"137","Foods","Fish and shellfish ","Million dollars","2012","16467.5"
"138","Foods","Fish and shellfish ","Million dollars","2011","16459.400000000001"
"139","Foods","Fish and shellfish ","Million dollars","2010","14516.7"
"140","Foods","Fish and shellfish ","Million dollars","2009","12933.9"
"141","Foods","Fish and shellfish ","Million dollars","2008","13912"
"142","Foods","Fish and shellfish ","Million dollars","2007","13434.6"
"143","Foods","Fish and shellfish ","Million dollars","2006","13112.3"
"144","Foods","Fish and shellfish ","Million dollars","2005","11840.2"
"145","Foods","Fish and shellfish ","Million dollars","2004","11106.3"
"146","Foods","Fish and shellfish ","Million dollars","2003","10859.9"
"147","Foods","Fish and shellfish ","Million dollars","2002","9963.2999999999993"
"148","Foods","Fish and shellfish ","Million dollars","2001","9663.2999999999993"
"149","Foods","Fish and shellfish ","Million dollars","2000","9879.7999999999993"
"150","Foods","Fish and shellfish ","Million dollars","1999","8859.7999999999993"
"151","Foods","Fruits","Million dollars","2023","27645.5"
"152","Foods","Fruits","Million dollars","2022","27102.6"
"153","Foods","Fruits","Million dollars","2021","23701.8"
"154","Foods","Fruits","Million dollars","2020","20521"
"155","Foods","Fruits","Million dollars","2019","20354.7"
"156","Foods","Fruits","Million dollars","2018","19623.400000000001"
"157","Foods","Fruits","Million dollars","2017","18416.5"
"158","Foods","Fruits","Million dollars","2016","17191.5"
"159","Foods","Fruits","Million dollars","2015","15998.4"
"160","Foods","Fruits","Million dollars","2014","14834.8"
"161","Foods","Fruits","Million dollars","2013","13637.6"
"162","Foods","Fruits","Million dollars","2012","12571"
"163","Foods","Fruits","Million dollars","2011","12006.3"
"164","Foods","Fruits","Million dollars","2010","10685"
"165","Foods","Fruits","Million dollars","2009","9668.5"
"166","Foods","Fruits","Million dollars","2008","9919.2999999999993"
"167","Foods","Fruits","Million dollars","2007","9257.5"
"168","Foods","Fruits","Million dollars","2006","7737.9"
"169","Foods","Fruits","Million dollars","2005","6935.3"
"170","Foods","Fruits","Million dollars","2004","5964.1"
"171","Foods","Fruits","Million dollars","2003","5561.9"
"172","Foods","Fruits","Million dollars","2002","5074.6000000000004"
"173","Foods","Fruits","Million dollars","2001","4677.7"
"174","Foods","Fruits","Million dollars","2000","4647.3999999999996"
"175","Foods","Fruits","Million dollars","1999","4793.7"
"176","Foods","Grains","Million dollars","2023","19827"
"177","Foods","Grains","Million dollars","2022","18476.8"
"178","Foods","Grains","Million dollars","2021","14323.9"
"179","Foods","Grains","Million dollars","2020","13110.6"
"180","Foods","Grains","Million dollars","2019","12295.8"
"181","Foods","Grains","Million dollars","2018","11851.6"
"182","Foods","Grains","Million dollars","2017","10645.1"
"183","Foods","Grains","Million dollars","2016","9978.6"
"184","Foods","Grains","Million dollars","2015","9836"
"185","Foods","Grains","Million dollars","2014","9823.9"
"186","Foods","Grains","Million dollars","2013","10067.4"
"187","Foods","Grains","Million dollars","2012","8920.9"
"188","Foods","Grains","Million dollars","2011","7922.2"
"189","Foods","Grains","Million dollars","2010","7015.7"
"190","Foods","Grains","Million dollars","2009","6748"
"191","Foods","Grains","Million dollars","2008","7613.3"
"192","Foods","Grains","Million dollars","2007","5857.5"
"193","Foods","Grains","Million dollars","2006","4860.5"
"194","Foods","Grains","Million dollars","2005","4195.6000000000004"
"195","Foods","Grains","Million dollars","2004","3963.2"
"196","Foods","Grains","Million dollars","2003","3563.7"
"197","Foods","Grains","Million dollars","2002","3306.4"
"198","Foods","Grains","Million dollars","2001","2964.4"
"199","Foods","Grains","Million dollars","2000","2712.4"
"200","Foods","Grains","Million dollars","1999","2635"
"201","Foods","Live meat animals","Million dollars","2023","3059.1"
"202","Foods","Live meat animals","Million dollars","2022","2508.6999999999998"
"203","Foods","Live meat animals","Million dollars","2021","2298.1"
"204","Foods","Live meat animals","Million dollars","2020","2157.6"
"205","Foods","Live meat animals","Million dollars","2019","2252.9"
"206","Foods","Live meat animals","Million dollars","2018","2028.8"
"207","Foods","Live meat animals","Million dollars","2017","2015.9"
"208","Foods","Live meat animals","Million dollars","2016","2103"
"209","Foods","Live meat animals","Million dollars","2015","2772.5"
"210","Foods","Live meat animals","Million dollars","2014","3008.6"
"211","Foods","Live meat animals","Million dollars","2013","2190.1999999999998"
"212","Foods","Live meat animals","Million dollars","2012","2192"
"213","Foods","Live meat animals","Million dollars","2011","1886.4"
"214","Foods","Live meat animals","Million dollars","2010","2007.2"
"215","Foods","Live meat animals","Million dollars","2009","1655.5"
"216","Foods","Live meat animals","Million dollars","2008","2266.4"
"217","Foods","Live meat animals","Million dollars","2007","2588"
"218","Foods","Live meat animals","Million dollars","2006","2172"
"219","Foods","Live meat animals","Million dollars","2005","1672"
"220","Foods","Live meat animals","Million dollars","2004","1134.3"
"221","Foods","Live meat animals","Million dollars","2003","1276.7"
"222","Foods","Live meat animals","Million dollars","2002","1723.9"
"223","Foods","Live meat animals","Million dollars","2001","1771.2"
"224","Foods","Live meat animals","Million dollars","2000","1419"
"225","Foods","Live meat animals","Million dollars","1999","1189.7"
"226","Foods","Meats","Million dollars","2023","13688.2"
"227","Foods","Meats","Million dollars","2022","14176.3"
"228","Foods","Meats","Million dollars","2021","13190.8"
"229","Foods","Meats","Million dollars","2020","10384.6"
"230","Foods","Meats","Million dollars","2019","9668.9"
"231","Foods","Meats","Million dollars","2018","9251.2999999999993"
"232","Foods","Meats","Million dollars","2017","8875.2000000000007"
"233","Foods","Meats","Million dollars","2016","8587.2000000000007"
"234","Foods","Meats","Million dollars","2015","9991.7000000000007"
"235","Foods","Meats","Million dollars","2014","8940.2999999999993"
"236","Foods","Meats","Million dollars","2013","6529.9"
"237","Foods","Meats","Million dollars","2012","6245.2"
"238","Foods","Meats","Million dollars","2011","5755.2"
"239","Foods","Meats","Million dollars","2010","5087.8"
"240","Foods","Meats","Million dollars","2009","4612.1000000000004"
"241","Foods","Meats","Million dollars","2008","5059.8"
"242","Foods","Meats","Million dollars","2007","5367.4"
"243","Foods","Meats","Million dollars","2006","5243.6"
"244","Foods","Meats","Million dollars","2005","5751.9"
"245","Foods","Meats","Million dollars","2004","5718.5"
"246","Foods","Meats","Million dollars","2003","4426.8"
"247","Foods","Meats","Million dollars","2002","4283.5"
"248","Foods","Meats","Million dollars","2001","4256.2"
"249","Foods","Meats","Million dollars","2000","3827.7"
"250","Foods","Meats","Million dollars","1999","3260.5"
"251","Foods","Nuts","Million dollars","2023","2520.6999999999998"
"252","Foods","Nuts","Million dollars","2022","2942"
"253","Foods","Nuts","Million dollars","2021","3150.2"
"254","Foods","Nuts","Million dollars","2020","2768.8"
"255","Foods","Nuts","Million dollars","2019","3176.7"
"256","Foods","Nuts","Million dollars","2018","3495.5"
"257","Foods","Nuts","Million dollars","2017","3299.9"
"258","Foods","Nuts","Million dollars","2016","2870.4"
"259","Foods","Nuts","Million dollars","2015","2767.3"
"260","Foods","Nuts","Million dollars","2014","2360.5"
"261","Foods","Nuts","Million dollars","2013","2000.2"
"262","Foods","Nuts","Million dollars","2012","1999.6"
"263","Foods","Nuts","Million dollars","2011","1863.2"
"264","Foods","Nuts","Million dollars","2010","1461.7"
"265","Foods","Nuts","Million dollars","2009","1278.3"
"266","Foods","Nuts","Million dollars","2008","1350.7"
"267","Foods","Nuts","Million dollars","2007","1181.4000000000001"
"268","Foods","Nuts","Million dollars","2006","1099.4000000000001"
"269","Foods","Nuts","Million dollars","2005","1121.9000000000001"
"270","Foods","Nuts","Million dollars","2004","1078.4000000000001"
"271","Foods","Nuts","Million dollars","2003","775.6"
"272","Foods","Nuts","Million dollars","2002","700.5"
"273","Foods","Nuts","Million dollars","2001","670.2"
"274","Foods","Nuts","Million dollars","2000","808.7"
"275","Foods","Nuts","Million dollars","1999","793.9"
"276","Foods","Other edible products","Million dollars","2023","19407.099999999999"
"277","Foods","Other edible products","Million dollars","2022","21180.6"
"278","Foods","Other edible products","Million dollars","2021","17719.900000000001"
"279","Foods","Other edible products","Million dollars","2020","15544.4"
"280","Foods","Other edible products","Million dollars","2019","14395.5"
"281","Foods","Other edible products","Million dollars","2018","14078.2"
"282","Foods","Other edible products","Million dollars","2017","10125.4"
"283","Foods","Other edible products","Million dollars","2016","9329.9"
"284","Foods","Other edible products","Million dollars","2015","9591.4"
"285","Foods","Other edible products","Million dollars","2014","9715.7999999999993"
"286","Foods","Other edible products","Million dollars","2013","9831"
"287","Foods","Other edible products","Million dollars","2012","10977.6"
"288","Foods","Other edible products","Million dollars","2011","8082.1"
"289","Foods","Other edible products","Million dollars","2010","6741.3"
"290","Foods","Other edible products","Million dollars","2009","6083.5"
"291","Foods","Other edible products","Million dollars","2008","6680"
"292","Foods","Other edible products","Million dollars","2007","6067.4"
"293","Foods","Other edible products","Million dollars","2006","5955.1"
"294","Foods","Other edible products","Million dollars","2005","5529.7"
"295","Foods","Other edible products","Million dollars","2004","4777.6000000000004"
"296","Foods","Other edible products","Million dollars","2003","3633.6"
"297","Foods","Other edible products","Million dollars","2002","2479.5"
"298","Foods","Other edible products","Million dollars","2001","2249"
"299","Foods","Other edible products","Million dollars","2000","2096.6999999999998"
"300","Foods","Other edible products","Million dollars","1999","2117.4"
"301","Foods","Sugar and candy","Million dollars","2023","7196.7"
"302","Foods","Sugar and candy","Million dollars","2022","6883.5"
"303","Foods","Sugar and candy","Million dollars","2021","5700.6"
"304","Foods","Sugar and candy","Million dollars","2020","5171.5"
"305","Foods","Sugar and candy","Million dollars","2019","4665"
"306","Foods","Sugar and candy","Million dollars","2018","4659.7"
"307","Foods","Sugar and candy","Million dollars","2017","4675.8"
"308","Foods","Sugar and candy","Million dollars","2016","4630.6000000000004"
"309","Foods","Sugar and candy","Million dollars","2015","4621.3"
"310","Foods","Sugar and candy","Million dollars","2014","4492"
"311","Foods","Sugar and candy","Million dollars","2013","4294.6000000000004"
"312","Foods","Sugar and candy","Million dollars","2012","4802.8999999999996"
"313","Foods","Sugar and candy","Million dollars","2011","5162.3"
"314","Foods","Sugar and candy","Million dollars","2010","4060.7"
"315","Foods","Sugar and candy","Million dollars","2009","3090.7"
"316","Foods","Sugar and candy","Million dollars","2008","2991.3"
"317","Foods","Sugar and candy","Million dollars","2007","2607.4"
"318","Foods","Sugar and candy","Million dollars","2006","3055.8"
"319","Foods","Sugar and candy","Million dollars","2005","2501"
"320","Foods","Sugar and candy","Million dollars","2004","2114.5"
"321","Foods","Sugar and candy","Million dollars","2003","2138"
"322","Foods","Sugar and candy","Million dollars","2002","1860.5"
"323","Foods","Sugar and candy","Million dollars","2001","1606.5"
"324","Foods","Sugar and candy","Million dollars","2000","1560.9"
"325","Foods","Sugar and candy","Million dollars","1999","1593.5"
"326","Foods","Vegetable oils","Million dollars","2023","12758.7"
"327","Foods","Vegetable oils","Million dollars","2022","12967"
"328","Foods","Vegetable oils","Million dollars","2021","9634.7999999999993"
"329","Foods","Vegetable oils","Million dollars","2020","6682.1"
"330","Foods","Vegetable oils","Million dollars","2019","6303.5"
"331","Foods","Vegetable oils","Million dollars","2018","6989.2"
"332","Foods","Vegetable oils","Million dollars","2017","7216"
"333","Foods","Vegetable oils","Million dollars","2016","6523.3"
"334","Foods","Vegetable oils","Million dollars","2015","6304.1"
"335","Foods","Vegetable oils","Million dollars","2014","7336.6"
"336","Foods","Vegetable oils","Million dollars","2013","6664.5"
"337","Foods","Vegetable oils","Million dollars","2012","6235.9"
"338","Foods","Vegetable oils","Million dollars","2011","6793.6"
"339","Foods","Vegetable oils","Million dollars","2010","4508.8"
"340","Foods","Vegetable oils","Million dollars","2009","4039.4"
"341","Foods","Vegetable oils","Million dollars","2008","5694.6"
"342","Foods","Vegetable oils","Million dollars","2007","3516.7"
"343","Foods","Vegetable oils","Million dollars","2006","2818.3"
"344","Foods","Vegetable oils","Million dollars","2005","2362.6"
"345","Foods","Vegetable oils","Million dollars","2004","2241"
"346","Foods","Vegetable oils","Million dollars","2003","1506.5"
"347","Foods","Vegetable oils","Million dollars","2002","1301.7"
"348","Foods","Vegetable oils","Million dollars","2001","1177"
"349","Foods","Vegetable oils","Million dollars","2000","1362.5"
"350","Foods","Vegetable oils","Million dollars","1999","1356.9"
"351","Foods","Vegetables","Million dollars","2023","19799"
"352","Foods","Vegetables","Million dollars","2022","18263.599999999999"
"353","Foods","Vegetables","Million dollars","2021","16799.8"
"354","Foods","Vegetables","Million dollars","2020","15562.1"
"355","Foods","Vegetables","Million dollars","2019","13950.1"
"356","Foods","Vegetables","Million dollars","2018","13398.2"
"357","Foods","Vegetables","Million dollars","2017","12652.4"
"358","Foods","Vegetables","Million dollars","2016","12393.4"
"359","Foods","Vegetables","Million dollars","2015","11211.3"
"360","Foods","Vegetables","Million dollars","2014","10865.4"
"361","Foods","Vegetables","Million dollars","2013","10672.8"
"362","Foods","Vegetables","Million dollars","2012","9884.2000000000007"
"363","Foods","Vegetables","Million dollars","2011","9632"
"364","Foods","Vegetables","Million dollars","2010","8683.4"
"365","Foods","Vegetables","Million dollars","2009","7503.3"
"366","Foods","Vegetables","Million dollars","2008","7787.3"
"367","Foods","Vegetables","Million dollars","2007","7246.3"
"368","Foods","Vegetables","Million dollars","2006","6611"
"369","Foods","Vegetables","Million dollars","2005","6035.8"
"370","Foods","Vegetables","Million dollars","2004","5724.5"
"371","Foods","Vegetables","Million dollars","2003","5078.1000000000004"
"372","Foods","Vegetables","Million dollars","2002","4386.3999999999996"
"373","Foods","Vegetables","Million dollars","2001","4152.1000000000004"
"374","Foods","Vegetables","Million dollars","2000","3767.4"
"375","Foods","Vegetables","Million dollars","1999","3627.6"
"376","Subtotal foods ","Animals","Million dollars","2023","44643.7"
"377","Subtotal foods ","Animals","Million dollars","2022","48869.4"
"378","Subtotal foods ","Animals","Million dollars","2021","45639.3"
"379","Subtotal foods ","Animals","Million dollars","2020","35892.5"
"380","Subtotal foods ","Animals","Million dollars","2019","35849.199999999997"
"381","Subtotal foods ","Animals","Million dollars","2018","35564.800000000003"
"382","Subtotal foods ","Animals","Million dollars","2017","34044.699999999997"
"383","Subtotal foods ","Animals","Million dollars","2016","31821.7"
"384","Subtotal foods ","Animals","Million dollars","2015","33171.300000000003"
"385","Subtotal foods ","Animals","Million dollars","2014","33846.699999999997"
"386","Subtotal foods ","Animals","Million dollars","2013","28153.5"
"387","Subtotal foods ","Animals","Million dollars","2012","26508.9"
"388","Subtotal foods ","Animals","Million dollars","2011","25603.1"
"389","Subtotal foods ","Animals","Million dollars","2010","22958.9"
"390","Subtotal foods ","Animals","Million dollars","2009","20554.900000000001"
"391","Subtotal foods ","Animals","Million dollars","2008","22833.8"
"392","Subtotal foods ","Animals","Million dollars","2007","22890.799999999999"
"393","Subtotal foods ","Animals","Million dollars","2006","21933.599999999999"
"394","Subtotal foods ","Animals","Million dollars","2005","20652.5"
"395","Subtotal foods ","Animals","Million dollars","2004","19251.400000000001"
"396","Subtotal foods ","Animals","Million dollars","2003","17673.7"
"397","Subtotal foods ","Animals","Million dollars","2002","16979.5"
"398","Subtotal foods ","Animals","Million dollars","2001","16686.5"
"399","Subtotal foods ","Animals","Million dollars","2000","16048.8"
"400","Subtotal foods ","Animals","Million dollars","1999","14240.3"
"401","Subtotal foods ","Beverages ","Million dollars","2023","17920.2"
"402","Subtotal foods ","Beverages ","Million dollars","2022","18701.8"
"403","Subtotal foods ","Beverages ","Million dollars","2021","18552.099999999999"
"404","Subtotal foods ","Beverages ","Million dollars","2020","16124"
"405","Subtotal foods ","Beverages ","Million dollars","2019","16033.3"
"406","Subtotal foods ","Beverages ","Million dollars","2018","15547.5"
"407","Subtotal foods ","Beverages ","Million dollars","2017","14912.8"
"408","Subtotal foods ","Beverages ","Million dollars","2016","13982.2"
"409","Subtotal foods ","Beverages ","Million dollars","2015","13237.9"
"410","Subtotal foods ","Beverages ","Million dollars","2014","12392.2"
"411","Subtotal foods ","Beverages ","Million dollars","2013","11629"
"412","Subtotal foods ","Beverages ","Million dollars","2012","11240.6"
"413","Subtotal foods ","Beverages ","Million dollars","2011","10482.1"
"414","Subtotal foods ","Beverages ","Million dollars","2010","9587.4"
"415","Subtotal foods ","Beverages ","Million dollars","2009","8989.7000000000007"
"416","Subtotal foods ","Beverages ","Million dollars","2008","10177.799999999999"
"417","Subtotal foods ","Beverages ","Million dollars","2007","10269.799999999999"
"418","Subtotal foods ","Beverages ","Million dollars","2006","9510.4"
"419","Subtotal foods ","Beverages ","Million dollars","2005","8206.1"
"420","Subtotal foods ","Beverages ","Million dollars","2004","7352.9"
"421","Subtotal foods ","Beverages ","Million dollars","2003","6942.7"
"422","Subtotal foods ","Beverages ","Million dollars","2002","6129.3"
"423","Subtotal foods ","Beverages ","Million dollars","2001","5394"
"424","Subtotal foods ","Beverages ","Million dollars","2000","5104.8999999999996"
"425","Subtotal foods ","Beverages ","Million dollars","1999","4718.1000000000004"
"426","Subtotal foods ","Plants","Million dollars","2023","126589.7"
"427","Subtotal foods ","Plants","Million dollars","2022","126846.5"
"428","Subtotal foods ","Plants","Million dollars","2021","106484.3"
"429","Subtotal foods ","Plants","Million dollars","2020","92758.399999999994"
