"","group","type","units","Last 10-year average","year","amount"
"1","Foods ","Live meat animals ","Percent","2.4742849790000001","2023","7.5219117630000003"
"2","Foods ","Live meat animals ","Percent","2.4742849790000001","2022","-3.6252058429999998"
"3","Foods ","Live meat animals ","Percent","2.4742849790000001","2021","14.10785016"
"4","Foods ","Live meat animals ","Percent","2.4742849790000001","2020","3.6152510090000001"
"5","Foods ","Live meat animals ","Percent","2.4742849790000001","2019","0.20633026900000001"
"6","Foods ","Live meat animals ","Percent","2.4742849790000001","2018","-3.2431111050000001"
"7","Foods ","Live meat animals ","Percent","2.4742849790000001","2017","0.36940105200000001"
"8","Foods ","Live meat animals ","Percent","2.4742849790000001","2016","-4.2421552760000001"
"9","Foods ","Live meat animals ","Percent","2.4742849790000001","2015","5.9259464089999998"
"10","Foods ","Live meat animals ","Percent","2.4742849790000001","2014","4.106631353"
"11","Foods ","Live meat animals ","Percent","2.4742849790000001","2013","-12.16844927"
"12","Foods ","Live meat animals ","Percent","2.4742849790000001","2012","0.471248746"
"13","Foods ","Live meat animals ","Percent","2.4742849790000001","2011","-1.561718516"
"14","Foods ","Live meat animals ","Percent","2.4742849790000001","2010","-4.2203592810000004"
"15","Foods ","Live meat animals ","Percent","2.4742849790000001","2009","-27.75941723"
"16","Foods ","Live meat animals ","Percent","2.4742849790000001","2008","-6.9318410559999997"
"17","Foods ","Live meat animals ","Percent","2.4742849790000001","2007","13.05357062"
"18","Foods ","Live meat animals ","Percent","2.4742849790000001","2006","10.38595645"
"19","Foods ","Live meat animals ","Percent","2.4742849790000001","2005","0.867599809"
"20","Foods ","Live meat animals ","Percent","2.4742849790000001","2004","6.9726342270000004"
"21","Foods ","Live meat animals ","Percent","2.4742849790000001","2003","11.084079060000001"
"22","Foods ","Live meat animals ","Percent","2.4742849790000001","2002","7.0223379440000002"
"23","Foods ","Live meat animals ","Percent","2.4742849790000001","2001","18.95642307"
