"","group","type","units","year","amount"
"1","Foods ","Live meat animals ","1,000 head","2023","8746.7999999999993"
"2","Foods ","Live meat animals ","1,000 head","2022","8134.9"
"3","Foods ","Live meat animals ","1,000 head","2021","8440.9"
"4","Foods ","Live meat animals ","1,000 head","2020","7397.3"
"5","Foods ","Live meat animals ","1,000 head","2019","7139.2"
"6","Foods ","Live meat animals ","1,000 head","2018","7124.5"
"7","Foods ","Live meat animals ","1,000 head","2017","7363.3"
"8","Foods ","Live meat animals ","1,000 head","2016","7336.2"
"9","Foods ","Live meat animals ","1,000 head","2015","7661.2"
"10","Foods ","Live meat animals ","1,000 head","2014","7232.6"
"11","Foods ","Live meat animals ","1,000 head","2013","6947.3"
"12","Foods ","Live meat animals ","1,000 head","2012","7909.8"
"13","Foods ","Live meat animals ","1,000 head","2011","7872.7"
"14","Foods ","Live meat animals ","1,000 head","2010","7997.6"
"15","Foods ","Live meat animals ","1,000 head","2009","8350"
"16","Foods ","Live meat animals ","1,000 head","2008","11558.6"
"17","Foods ","Live meat animals ","1,000 head","2007","12419.5"
"18","Foods ","Live meat animals ","1,000 head","2006","10985.5"
"19","Foods ","Live meat animals ","1,000 head","2005","9951.9"
"20","Foods ","Live meat animals ","1,000 head","2004","9866.2999999999993"
"21","Foods ","Live meat animals ","1,000 head","2003","9223.2000000000007"
"22","Foods ","Live meat animals ","1,000 head","2002","8302.9"
"23","Foods ","Live meat animals ","1,000 head","2001","7758.1"
"24","Foods ","Live meat animals ","1,000 head","2000","6521.8"
"25","Foods ","Live meat animals ","1,000 head","1999","6058.4"
"26","Foods ","Meats","1,000 mt","2023","2160.6999999999998"
"27","Foods ","Meats","1,000 mt","2022","2218.9"
"28","Foods ","Meats","1,000 mt","2021","2076.9"
"29","Foods ","Meats","1,000 mt","2020","1886.9"
"30","Foods ","Meats","1,000 mt","2019","1795.5"
"31","Foods ","Meats","1,000 mt","2018","1821.2"
"32","Foods ","Meats","1,000 mt","2017","1847.8"
"33","Foods ","Meats","1,000 mt","2016","1824.8"
"34","Foods ","Meats","1,000 mt","2015","1942.8"
"35","Foods ","Meats","1,000 mt","2014","1720.2"
"36","Foods ","Meats","1,000 mt","2013","1400.5"
"37","Foods ","Meats","1,000 mt","2012","1336.6"
"38","Foods ","Meats","1,000 mt","2011","1270.0999999999999"
"39","Foods ","Meats","1,000 mt","2010","1371.5"
"40","Foods ","Meats","1,000 mt","2009","1445.4"
"41","Foods ","Meats","1,000 mt","2008","1411.4"
"42","Foods ","Meats","1,000 mt","2007","1628.2"
"43","Foods ","Meats","1,000 mt","2006","1627.4"
"44","Foods ","Meats","1,000 mt","2005","1797.1"
"45","Foods ","Meats","1,000 mt","2004","1839.2"
"46","Foods ","Meats","1,000 mt","2003","1659.3"
"47","Foods ","Meats","1,000 mt","2002","1700"
"48","Foods ","Meats","1,000 mt","2001","1634"
"49","Foods ","Meats","1,000 mt","2000","1578.1"
"50","Foods ","Meats","1,000 mt","1999","1439.6"
"51","Foods ","Fish and shellfish ","1,000 mt","2023","2820.4"
"52","Foods ","Fish and shellfish ","1,000 mt","2022","3086.9"
"53","Foods ","Fish and shellfish ","1,000 mt","2021","3051"
"54","Foods ","Fish and shellfish ","1,000 mt","2020","2729.3"
"55","Foods ","Fish and shellfish ","1,000 mt","2019","2648.9"
"56","Foods ","Fish and shellfish ","1,000 mt","2018","2718.8"
"57","Foods ","Fish and shellfish ","1,000 mt","2017","2621.8"
"58","Foods ","Fish and shellfish ","1,000 mt","2016","2553.5"
"59","Foods ","Fish and shellfish ","1,000 mt","2015","2496.3000000000002"
"60","Foods ","Fish and shellfish ","1,000 mt","2014","2450"
"61","Foods ","Fish and shellfish ","1,000 mt","2013","2378.4"
"62","Foods ","Fish and shellfish ","1,000 mt","2012","2361.5"
"63","Foods ","Fish and shellfish ","1,000 mt","2011","2345.6"
"64","Foods ","Fish and shellfish ","1,000 mt","2010","2342"
"65","Foods ","Fish and shellfish ","1,000 mt","2009","2246.8000000000002"
"66","Foods ","Fish and shellfish ","1,000 mt","2008","2250.4"
"67","Foods ","Fish and shellfish ","1,000 mt","2007","2284.6"
