"","group","country","units","year","amount"
"1","Total fruit and preparations ","Mexico","Million dollars","2023","11261.8"
"2","Total fruit and preparations ","Mexico","Million dollars","2022","10928.1"
"3","Total fruit and preparations ","Mexico","Million dollars","2021","9930.1"
"4","Total fruit and preparations ","Mexico","Million dollars","2020","8238.2999999999993"
"5","Total fruit and preparations ","Mexico","Million dollars","2019","8487.6"
"6","Total fruit and preparations ","Mexico","Million dollars","2018","7320"
"7","Total fruit and preparations ","Mexico","Million dollars","2017","7368.1"
"8","Total fruit and preparations ","Mexico","Million dollars","2016","6099.7"
"9","Total fruit and preparations ","Mexico","Million dollars","2015","5397.4"
"10","Total fruit and preparations ","Mexico","Million dollars","2014","4688.1000000000004"
"11","Total fruit and preparations ","Mexico","Million dollars","2013","3982.7"
"12","Total fruit and preparations ","Mexico","Million dollars","2012","3513.1"
"13","Total fruit and preparations ","Mexico","Million dollars","2011","3119.4"
"14","Total fruit and preparations ","Mexico","Million dollars","2010","2925.7"
"15","Total fruit and preparations ","Mexico","Million dollars","2009","2442.4"
"16","Total fruit and preparations ","Mexico","Million dollars","2008","2224"
"17","Total fruit and preparations ","Mexico","Million dollars","2007","2076.8000000000002"
"18","Total fruit and preparations ","Mexico","Million dollars","2006","1493.1"
"19","Total fruit and preparations ","Mexico","Million dollars","2005","1516.1"
"20","Total fruit and preparations ","Mexico","Million dollars","2004","1148.0999999999999"
"21","Total fruit and preparations ","Mexico","Million dollars","2003","956.4"
"22","Total fruit and preparations ","Mexico","Million dollars","2002","866.3"
"23","Total fruit and preparations ","Mexico","Million dollars","2001","840.1"
"24","Total fruit and preparations ","Mexico","Million dollars","2000","800.6"
"25","Total fruit and preparations ","Mexico","Million dollars","1999","972.7"
"26","Total fruit and preparations ","Peru","Million dollars","2023","2488.9"
"27","Total fruit and preparations ","Peru","Million dollars","2022","2428.8000000000002"
"28","Total fruit and preparations ","Peru","Million dollars","2021","1869.9"
"29","Total fruit and preparations ","Peru","Million dollars","2020","1677.8"
"30","Total fruit and preparations ","Peru","Million dollars","2019","1428.5"
"31","Total fruit and preparations ","Peru","Million dollars","2018","1150.4000000000001"
"32","Total fruit and preparations ","Peru","Million dollars","2017","863.9"
"33","Total fruit and preparations ","Peru","Million dollars","2016","668"
"34","Total fruit and preparations ","Peru","Million dollars","2015","577.1"
"35","Total fruit and preparations ","Peru","Million dollars","2014","481.1"
"36","Total fruit and preparations ","Peru","Million dollars","2013","285.7"
"37","Total fruit and preparations ","Peru","Million dollars","2012","233.7"
"38","Total fruit and preparations ","Peru","Million dollars","2011","231.2"
"39","Total fruit and preparations ","Peru","Million dollars","2010","142.69999999999999"
"40","Total fruit and preparations ","Peru","Million dollars","2009","105.3"
"41","Total fruit and preparations ","Peru","Million dollars","2008","107.1"
"42","Total fruit and preparations ","Peru","Million dollars","2007","76.7"
"43","Total fruit and preparations ","Peru","Million dollars","2006","69.099999999999994"
"44","Total fruit and preparations ","Peru","Million dollars","2005","51"
"45","Total fruit and preparations ","Peru","Million dollars","2004","36.799999999999997"
"46","Total fruit and preparations ","Peru","Million dollars","2003","29"
"47","Total fruit and preparations ","Peru","Million dollars","2002","35.1"
"48","Total fruit and preparations ","Peru","Million dollars","2001","21.5"
"49","Total fruit and preparations ","Peru","Million dollars","2000","16.100000000000001"
"50","Total fruit and preparations ","Peru","Million dollars","1999","15"
"51","Total fruit and preparations ","Chile","Million dollars","2023","2052.9"
"52","Total fruit and preparations ","Chile","Million dollars","2022","2253"
"53","Total fruit and preparations ","Chile","Million dollars","2021","2188.1"
"54","Total fruit and preparations ","Chile","Million dollars","2020","1950.9"
"55","Total fruit and preparations ","Chile","Million dollars","2019","2016.8"
"56","Total fruit and preparations ","Chile","Million dollars","2018","2243.8000000000002"
"57","Total fruit and preparations ","Chile","Million dollars","2017","2050.1999999999998"
"58","Total fruit and preparations ","Chile","Million dollars","2016","2281.6999999999998"
"59","Total fruit and preparations ","Chile","Million dollars","2015","2005.4"
"60","Total fruit and preparations ","Chile","Million dollars","2014","1890.3"
"61","Total fruit and preparations ","Chile","Million dollars","2013","1859"
"62","Total fruit and preparations ","Chile","Million dollars","2012","1519.3"
"63","Total fruit and preparations ","Chile","Million dollars","2011","1606.4"
"64","Total fruit and preparations ","Chile","Million dollars","2010","1586.2"
"65","Total fruit and preparations ","Chile","Million dollars","2009","1494.8"
"66","Total fruit and preparations ","Chile","Million dollars","2008","1493.2"
"67","Total fruit and preparations ","Chile","Million dollars","2007","1325.1"
"68","Total fruit and preparations ","Chile","Million dollars","2006","1346"
"69","Total fruit and preparations ","Chile","Million dollars","2005","1138.9000000000001"
"70","Total fruit and preparations ","Chile","Million dollars","2004","1005.8"
"71","Total fruit and preparations ","Chile","Million dollars","2003","868.4"
"72","Total fruit and preparations ","Chile","Million dollars","2002","827.8"
"73","Total fruit and preparations ","Chile","Million dollars","2001","687.2"
"74","Total fruit and preparations ","Chile","Million dollars","2000","686.8"
"75","Total fruit and preparations ","Chile","Million dollars","1999","591.79999999999995"
"76","Total fruit and preparations ","Guatemala","Million dollars","2023","1537.6"
"77","Total fruit and preparations ","Guatemala","Million dollars","2022","1403.7"
"78","Total fruit and preparations ","Guatemala","Million dollars","2021","1317.3"
"79","Total fruit and preparations ","Guatemala","Million dollars","2020","1217.2"
"80","Total fruit and preparations ","Guatemala","Million dollars","2019","1239.3"
"81","Total fruit and preparations ","Guatemala","Million dollars","2018","1269.7"
"82","Total fruit and preparations ","Guatemala","Million dollars","2017","1222"
"83","Total fruit and preparations ","Guatemala","Million dollars","2016","1135.5"
"84","Total fruit and preparations ","Guatemala","Million dollars","2015","1085.5999999999999"
"85","Total fruit and preparations ","Guatemala","Million dollars","2014","1017.7"
"86","Total fruit and preparations ","Guatemala","Million dollars","2013","943.2"
"87","Total fruit and preparations ","Guatemala","Million dollars","2012","865.9"
"88","Total fruit and preparations ","Guatemala","Million dollars","2011","798.7"
"89","Total fruit and preparations ","Guatemala","Million dollars","2010","598.1"
"90","Total fruit and preparations ","Guatemala","Million dollars","2009","597.20000000000005"
"91","Total fruit and preparations ","Guatemala","Million dollars","2008","508.7"
"92","Total fruit and preparations ","Guatemala","Million dollars","2007","454.3"
"93","Total fruit and preparations ","Guatemala","Million dollars","2006","367"
"94","Total fruit and preparations ","Guatemala","Million dollars","2005","379.2"
"95","Total fruit and preparations ","Guatemala","Million dollars","2004","352.2"
"96","Total fruit and preparations ","Guatemala","Million dollars","2003","336.2"
"97","Total fruit and preparations ","Guatemala","Million dollars","2002","337.4"
"98","Total fruit and preparations ","Guatemala","Million dollars","2001","291.5"
"99","Total fruit and preparations ","Guatemala","Million dollars","2000","249.9"
"100","Total fruit and preparations ","Guatemala","Million dollars","1999","192.1"
"101","Total fruit and preparations ","Costa Rica","Million dollars","2023","1342.7"
"102","Total fruit and preparations ","Costa Rica","Million dollars","2022","1229.4000000000001"
"103","Total fruit and preparations ","Costa Rica","Million dollars","2021","1193.5999999999999"
"104","Total fruit and preparations ","Costa Rica","Million dollars","2020","1111.2"
"105","Total fruit and preparations ","Costa Rica","Million dollars","2019","1087.0999999999999"
"106","Total fruit and preparations ","Costa Rica","Million dollars","2018","1131.9000000000001"
"107","Total fruit and preparations ","Costa Rica","Million dollars","2017","1170.7"
"108","Total fruit and preparations ","Costa Rica","Million dollars","2016","1119"
"109","Total fruit and preparations ","Costa Rica","Million dollars","2015","994.1"
"110","Total fruit and preparations ","Costa Rica","Million dollars","2014","1120.8"
"111","Total fruit and preparations ","Costa Rica","Million dollars","2013","1025.7"
"112","Total fruit and preparations ","Costa Rica","Million dollars","2012","975.1"
"113","Total fruit and preparations ","Costa Rica","Million dollars","2011","924.7"
"114","Total fruit and preparations ","Costa Rica","Million dollars","2010","905.9"
"115","Total fruit and preparations ","Costa Rica","Million dollars","2009","738.5"
"116","Total fruit and preparations ","Costa Rica","Million dollars","2008","781"
"117","Total fruit and preparations ","Costa Rica","Million dollars","2007","846"
"118","Total fruit and preparations ","Costa Rica","Million dollars","2006","811.8"
"119","Total fruit and preparations ","Costa Rica","Million dollars","2005","564.29999999999995"
"120","Total fruit and preparations ","Costa Rica","Million dollars","2004","539.4"
"121","Total fruit and preparations ","Costa Rica","Million dollars","2003","579.5"
"122","Total fruit and preparations ","Costa Rica","Million dollars","2002","542.20000000000005"
"123","Total fruit and preparations ","Costa Rica","Million dollars","2001","568.20000000000005"
"124","Total fruit and preparations ","Costa Rica","Million dollars","2000","545.79999999999995"
"125","Total fruit and preparations ","Costa Rica","Million dollars","1999","552.4"
"126","Total fruit and preparations ","Canada","Million dollars","2023","1107.7"
"127","Total fruit and preparations ","Canada","Million dollars","2022","1097.4000000000001"
"128","Total fruit and preparations ","Canada","Million dollars","2021","865.6"
"129","Total fruit and preparations ","Canada","Million dollars","2020","766.3"
"130","Total fruit and preparations ","Canada","Million dollars","2019","713.9"
"131","Total fruit and preparations ","Canada","Million dollars","2018","714.6"
"132","Total fruit and preparations ","Canada","Million dollars","2017","662.7"
"133","Total fruit and preparations ","Canada","Million dollars","2016","675.4"
"134","Total fruit and preparations ","Canada","Million dollars","2015","712.7"
"135","Total fruit and preparations ","Canada","Million dollars","2014","645.79999999999995"
"136","Total fruit and preparations ","Canada","Million dollars","2013","634.9"
"137","Total fruit and preparations ","Canada","Million dollars","2012","644.5"
"138","Total fruit and preparations ","Canada","Million dollars","2011","529.70000000000005"
"139","Total fruit and preparations ","Canada","Million dollars","2010","434.7"
"140","Total fruit and preparations ","Canada","Million dollars","2009","438.5"
"141","Total fruit and preparations ","Canada","Million dollars","2008","514.79999999999995"
"142","Total fruit and preparations ","Canada","Million dollars","2007","482.7"
"143","Total fruit and preparations ","Canada","Million dollars","2006","416.3"
"144","Total fruit and preparations ","Canada","Million dollars","2005","355.2"
"145","Total fruit and preparations ","Canada","Million dollars","2004","313.60000000000002"
"146","Total fruit and preparations ","Canada","Million dollars","2003","271.10000000000002"
"147","Total fruit and preparations ","Canada","Million dollars","2002","214.1"
"148","Total fruit and preparations ","Canada","Million dollars","2001","198.1"
"149","Total fruit and preparations ","Canada","Million dollars","2000","174.4"
"150","Total fruit and preparations ","Canada","Million dollars","1999","166.1"
"151","Total fruit and preparations ","Brazil","Million dollars","2023","1012.6"
"152","Total fruit and preparations ","Brazil","Million dollars","2022","731.1"
"153","Total fruit and preparations ","Brazil","Million dollars","2021","535.29999999999995"
"154","Total fruit and preparations ","Brazil","Million dollars","2020","386.9"
"155","Total fruit and preparations ","Brazil","Million dollars","2019","514.6"
"156","Total fruit and preparations ","Brazil","Million dollars","2018","613.4"
"157","Total fruit and preparations ","Brazil","Million dollars","2017","460.9"
"158","Total fruit and preparations ","Brazil","Million dollars","2016","392.6"
"159","Total fruit and preparations ","Brazil","Million dollars","2015","415.9"
"160","Total fruit and preparations ","Brazil","Million dollars","2014","486.4"
"161","Total fruit and preparations ","Brazil","Million dollars","2013","362.4"
"162","Total fruit and preparations ","Brazil","Million dollars","2012","300.3"
"163","Total fruit and preparations ","Brazil","Million dollars","2011","394.9"
