"","group","country","units","year","amount"
"1","Total red meats, fresh and frozen ","Canada","Million dollars","2023","3790.5"
"2","Total red meats, fresh and frozen ","Canada","Million dollars","2022","3679"
"3","Total red meats, fresh and frozen ","Canada","Million dollars","2021","3494.6"
"4","Total red meats, fresh and frozen ","Canada","Million dollars","2020","2418.9"
"5","Total red meats, fresh and frozen ","Canada","Million dollars","2019","2356.8000000000002"
"6","Total red meats, fresh and frozen ","Canada","Million dollars","2018","2240.3000000000002"
"7","Total red meats, fresh and frozen ","Canada","Million dollars","2017","2205.5"
"8","Total red meats, fresh and frozen ","Canada","Million dollars","2016","2159.3000000000002"
"9","Total red meats, fresh and frozen ","Canada","Million dollars","2015","2200.1"
"10","Total red meats, fresh and frozen ","Canada","Million dollars","2014","2346.1"
"11","Total red meats, fresh and frozen ","Canada","Million dollars","2013","1797.7"
"12","Total red meats, fresh and frozen ","Canada","Million dollars","2012","1658.3"
"13","Total red meats, fresh and frozen ","Canada","Million dollars","2011","1757.9"
"14","Total red meats, fresh and frozen ","Canada","Million dollars","2010","1728.4"
"15","Total red meats, fresh and frozen ","Canada","Million dollars","2009","1375"
"16","Total red meats, fresh and frozen ","Canada","Million dollars","2008","1525.9"
"17","Total red meats, fresh and frozen ","Canada","Million dollars","2007","1539.8"
"18","Total red meats, fresh and frozen ","Canada","Million dollars","2006","1651.7"
"19","Total red meats, fresh and frozen ","Canada","Million dollars","2005","2045.7"
"20","Total red meats, fresh and frozen ","Canada","Million dollars","2004","1978.1"
"21","Total red meats, fresh and frozen ","Canada","Million dollars","2003","1532"
"22","Total red meats, fresh and frozen ","Canada","Million dollars","2002","1729"
"23","Total red meats, fresh and frozen ","Canada","Million dollars","2001","1772.7"
"24","Total red meats, fresh and frozen ","Canada","Million dollars","2000","1558.7"
"25","Total red meats, fresh and frozen ","Canada","Million dollars","1999","1353.8"
"26","Total red meats, fresh and frozen ","Australia","Million dollars","2023","2589.8000000000002"
"27","Total red meats, fresh and frozen ","Australia","Million dollars","2022","2487"
"28","Total red meats, fresh and frozen ","Australia","Million dollars","2021","2304.4"
"29","Total red meats, fresh and frozen ","Australia","Million dollars","2020","2308.6999999999998"
"30","Total red meats, fresh and frozen ","Australia","Million dollars","2019","2360.6"
"31","Total red meats, fresh and frozen ","Australia","Million dollars","2018","2073.1"
"32","Total red meats, fresh and frozen ","Australia","Million dollars","2017","2063.6999999999998"
"33","Total red meats, fresh and frozen ","Australia","Million dollars","2016","2039.7"
"34","Total red meats, fresh and frozen ","Australia","Million dollars","2015","3106.4"
"35","Total red meats, fresh and frozen ","Australia","Million dollars","2014","2651.6"
"36","Total red meats, fresh and frozen ","Australia","Million dollars","2013","1523.5"
