"","group","country","units","year","amount"
"1","Total nuts ","Vietnam","Million dollars","2023","954.2"
"2","Total nuts ","Vietnam","Million dollars","2022","1051.8"
"3","Total nuts ","Vietnam","Million dollars","2021","1222.7"
"4","Total nuts ","Vietnam","Million dollars","2020","1072.0999999999999"
"5","Total nuts ","Vietnam","Million dollars","2019","1093.5999999999999"
"6","Total nuts ","Vietnam","Million dollars","2018","1317.6"
"7","Total nuts ","Vietnam","Million dollars","2017","1258.2"
"8","Total nuts ","Vietnam","Million dollars","2016","968.8"
"9","Total nuts ","Vietnam","Million dollars","2015","830.7"
"10","Total nuts ","Vietnam","Million dollars","2014","634.1"
"11","Total nuts ","Vietnam","Million dollars","2013","527.20000000000005"
"12","Total nuts ","Vietnam","Million dollars","2012","400.1"
"13","Total nuts ","Vietnam","Million dollars","2011","410.8"
"14","Total nuts ","Vietnam","Million dollars","2010","352.2"
"15","Total nuts ","Vietnam","Million dollars","2009","258.60000000000002"
"16","Total nuts ","Vietnam","Million dollars","2008","277.3"
"17","Total nuts ","Vietnam","Million dollars","2007","221.2"
"18","Total nuts ","Vietnam","Million dollars","2006","168"
"19","Total nuts ","Vietnam","Million dollars","2005","167.8"
"20","Total nuts ","Vietnam","Million dollars","2004","174"
"21","Total nuts ","Vietnam","Million dollars","2003","99.7"
"22","Total nuts ","Vietnam","Million dollars","2002","70.5"
"23","Total nuts ","Vietnam","Million dollars","2001","47.8"
"24","Total nuts ","Vietnam","Million dollars","2000","50.6"
"25","Total nuts ","Vietnam","Million dollars","1999","23.4"
"26","Total nuts ","Mexico","Million dollars","2023","689.6"
"27","Total nuts ","Mexico","Million dollars","2022","621.29999999999995"
"28","Total nuts ","Mexico","Million dollars","2021","666.9"
"29","Total nuts ","Mexico","Million dollars","2020","649.9"
"30","Total nuts ","Mexico","Million dollars","2019","763.9"
"31","Total nuts ","Mexico","Million dollars","2018","804.4"
"32","Total nuts ","Mexico","Million dollars","2017","638.20000000000005"
"33","Total nuts ","Mexico","Million dollars","2016","641.29999999999995"
"34","Total nuts ","Mexico","Million dollars","2015","486"
"35","Total nuts ","Mexico","Million dollars","2014","439.3"
"36","Total nuts ","Mexico","Million dollars","2013","306.10000000000002"
"37","Total nuts ","Mexico","Million dollars","2012","347.4"
"38","Total nuts ","Mexico","Million dollars","2011","331.3"
"39","Total nuts ","Mexico","Million dollars","2010","236.7"
"40","Total nuts ","Mexico","Million dollars","2009","234.6"
"41","Total nuts ","Mexico","Million dollars","2008","194.6"
"42","Total nuts ","Mexico","Million dollars","2007","165.9"
"43","Total nuts ","Mexico","Million dollars","2006","174.9"
"44","Total nuts ","Mexico","Million dollars","2005","146.30000000000001"
"45","Total nuts ","Mexico","Million dollars","2004","147.69999999999999"
"46","Total nuts ","Mexico","Million dollars","2003","99.2"
"47","Total nuts ","Mexico","Million dollars","2002","71.2"
"48","Total nuts ","Mexico","Million dollars","2001","47.3"
"49","Total nuts ","Mexico","Million dollars","2000","87.7"
"50","Total nuts ","Mexico","Million dollars","1999","75.099999999999994"
"51","Total nuts ","Canada","Million dollars","2023","130.1"
"52","Total nuts ","Canada","Million dollars","2022","185.8"
"53","Total nuts ","Canada","Million dollars","2021","226.3"
"54","Total nuts ","Canada","Million dollars","2020","163.5"
"55","Total nuts ","Canada","Million dollars","2019","155.1"
"56","Total nuts ","Canada","Million dollars","2018","159.19999999999999"
"57","Total nuts ","Canada","Million dollars","2017","153.6"
"58","Total nuts ","Canada","Million dollars","2016","136.30000000000001"
"59","Total nuts ","Canada","Million dollars","2015","135.80000000000001"
"60","Total nuts ","Canada","Million dollars","2014","97.3"
"61","Total nuts ","Canada","Million dollars","2013","85.2"
"62","Total nuts ","Canada","Million dollars","2012","73.5"
"63","Total nuts ","Canada","Million dollars","2011","43.8"
"64","Total nuts ","Canada","Million dollars","2010","35.200000000000003"
"65","Total nuts ","Canada","Million dollars","2009","39.5"
"66","Total nuts ","Canada","Million dollars","2008","46.2"
"67","Total nuts ","Canada","Million dollars","2007","35.700000000000003"
"68","Total nuts ","Canada","Million dollars","2006","33.1"
"69","Total nuts ","Canada","Million dollars","2005","30"
"70","Total nuts ","Canada","Million dollars","2004","29.2"
"71","Total nuts ","Canada","Million dollars","2003","26.1"
"72","Total nuts ","Canada","Million dollars","2002","30.2"
"73","Total nuts ","Canada","Million dollars","2001","30.6"
"74","Total nuts ","Canada","Million dollars","2000","26.8"
"75","Total nuts ","Canada","Million dollars","1999","27.1"
"76","Total nuts ","Thailand","Million dollars","2023","122.9"
"77","Total nuts ","Thailand","Million dollars","2022","136.80000000000001"
"78","Total nuts ","Thailand","Million dollars","2021","121.2"
"79","Total nuts ","Thailand","Million dollars","2020","100.3"
"80","Total nuts ","Thailand","Million dollars","2019","106.9"
"81","Total nuts ","Thailand","Million dollars","2018","120.9"
"82","Total nuts ","Thailand","Million dollars","2017","125"
"83","Total nuts ","Thailand","Million dollars","2016","114.1"
"84","Total nuts ","Thailand","Million dollars","2015","120"
"85","Total nuts ","Thailand","Million dollars","2014","101.1"
"86","Total nuts ","Thailand","Million dollars","2013","80.5"
"87","Total nuts ","Thailand","Million dollars","2012","67.599999999999994"
"88","Total nuts ","Thailand","Million dollars","2011","59.7"
"89","Total nuts ","Thailand","Million dollars","2010","43.4"
"90","Total nuts ","Thailand","Million dollars","2009","38"
"91","Total nuts ","Thailand","Million dollars","2008","25.8"
"92","Total nuts ","Thailand","Million dollars","2007","19.8"
"93","Total nuts ","Thailand","Million dollars","2006","19.8"
"94","Total nuts ","Thailand","Million dollars","2005","20.6"
"95","Total nuts ","Thailand","Million dollars","2004","16.899999999999999"
"96","Total nuts ","Thailand","Million dollars","2003","9.9"
"97","Total nuts ","Thailand","Million dollars","2002","7.1"
"98","Total nuts ","Thailand","Million dollars","2001","9.1999999999999993"
"99","Total nuts ","Thailand","Million dollars","2000","7.9"
"100","Total nuts ","Thailand","Million dollars","1999","8.5"
"101","Total nuts ","China","Million dollars","2023","71.5"
"102","Total nuts ","China","Million dollars","2022","100.2"
"103","Total nuts ","China","Million dollars","2021","82.5"
"104","Total nuts ","China","Million dollars","2020","86.2"
"105","Total nuts ","China","Million dollars","2019","106"
"106","Total nuts ","China","Million dollars","2018","122.7"
"107","Total nuts ","China","Million dollars","2017","97.2"
"108","Total nuts ","China","Million dollars","2016","109.6"
"109","Total nuts ","China","Million dollars","2015","121.5"
"110","Total nuts ","China","Million dollars","2014","111.4"
"111","Total nuts ","China","Million dollars","2013","116.2"
"112","Total nuts ","China","Million dollars","2012","123.7"
"113","Total nuts ","China","Million dollars","2011","93"
"114","Total nuts ","China","Million dollars","2010","107.1"
"115","Total nuts ","China","Million dollars","2009","106"
"116","Total nuts ","China","Million dollars","2008","110.7"
"117","Total nuts ","China","Million dollars","2007","95"
"118","Total nuts ","China","Million dollars","2006","88.2"
"119","Total nuts ","China","Million dollars","2005","74.400000000000006"
"120","Total nuts ","China","Million dollars","2004","65.599999999999994"
"121","Total nuts ","China","Million dollars","2003","45.4"
"122","Total nuts ","China","Million dollars","2002","38.799999999999997"
"123","Total nuts ","China","Million dollars","2001","28.3"
"124","Total nuts ","China","Million dollars","2000","22.1"
"125","Total nuts ","China","Million dollars","1999","32.6"
"126","Total nuts ","Philippines","Million dollars","2023","70.2"
"127","Total nuts ","Philippines","Million dollars","2022","136"
"128","Total nuts ","Philippines","Million dollars","2021","132.80000000000001"
"129","Total nuts ","Philippines","Million dollars","2020","81.400000000000006"
"130","Total nuts ","Philippines","Million dollars","2019","91.5"
"131","Total nuts ","Philippines","Million dollars","2018","110.7"
"132","Total nuts ","Philippines","Million dollars","2017","107"
"133","Total nuts ","Philippines","Million dollars","2016","99.6"
"134","Total nuts ","Philippines","Million dollars","2015","115.3"
"135","Total nuts ","Philippines","Million dollars","2014","114.4"
"136","Total nuts ","Philippines","Million dollars","2013","73.400000000000006"
"137","Total nuts ","Philippines","Million dollars","2012","97.7"
"138","Total nuts ","Philippines","Million dollars","2011","111.4"
"139","Total nuts ","Philippines","Million dollars","2010","50.6"
"140","Total nuts ","Philippines","Million dollars","2009","54.5"
"141","Total nuts ","Philippines","Million dollars","2008","54.2"
