"","group","country","units","year","amount"
"1","Sauces, soups, prepared foods ","Singapore","Million dollars","2023","3046.1"
"2","Sauces, soups, prepared foods ","Singapore","Million dollars","2022","4069.3"
"3","Sauces, soups, prepared foods ","Singapore","Million dollars","2021","3461.3"
"4","Sauces, soups, prepared foods ","Singapore","Million dollars","2020","3205.2"
"5","Sauces, soups, prepared foods ","Singapore","Million dollars","2019","2973.4"
"6","Sauces, soups, prepared foods ","Singapore","Million dollars","2018","2610.1999999999998"
"7","Sauces, soups, prepared foods ","Singapore","Million dollars","2017","6.1"
"8","Sauces, soups, prepared foods ","Singapore","Million dollars","2016","4.9000000000000004"
"9","Sauces, soups, prepared foods ","Singapore","Million dollars","2015","6.5"
"10","Sauces, soups, prepared foods ","Singapore","Million dollars","2014","8.4"
"11","Sauces, soups, prepared foods ","Singapore","Million dollars","2013","8"
"12","Sauces, soups, prepared foods ","Singapore","Million dollars","2012","8.1"
"13","Sauces, soups, prepared foods ","Singapore","Million dollars","2011","8.5"
"14","Sauces, soups, prepared foods ","Singapore","Million dollars","2010","6.8"
"15","Sauces, soups, prepared foods ","Singapore","Million dollars","2009","5.4"
"16","Sauces, soups, prepared foods ","Singapore","Million dollars","2008","5.9"
"17","Sauces, soups, prepared foods ","Singapore","Million dollars","2007","6.4"
"18","Sauces, soups, prepared foods ","Singapore","Million dollars","2006","3"
"19","Sauces, soups, prepared foods ","Singapore","Million dollars","2005","4.5"
"20","Sauces, soups, prepared foods ","Singapore","Million dollars","2004","5.3"
"21","Sauces, soups, prepared foods ","Singapore","Million dollars","2003","5.3"
"22","Sauces, soups, prepared foods ","Singapore","Million dollars","2002","6.2"
"23","Sauces, soups, prepared foods ","Singapore","Million dollars","2001","4.5"
"24","Sauces, soups, prepared foods ","Singapore","Million dollars","2000","3"
"25","Sauces, soups, prepared foods ","Singapore","Million dollars","1999","2.8"
"26","Sauces, soups, prepared foods ","Canada","Million dollars","2023","1831.7"
"27","Sauces, soups, prepared foods ","Canada","Million dollars","2022","1843.9"
"28","Sauces, soups, prepared foods ","Canada","Million dollars","2021","1664.8"
"29","Sauces, soups, prepared foods ","Canada","Million dollars","2020","1419.7"
"30","Sauces, soups, prepared foods ","Canada","Million dollars","2019","1306.4000000000001"
"31","Sauces, soups, prepared foods ","Canada","Million dollars","2018","1265.2"
"32","Sauces, soups, prepared foods ","Canada","Million dollars","2017","1165.9000000000001"
"33","Sauces, soups, prepared foods ","Canada","Million dollars","2016","1050.5"
"34","Sauces, soups, prepared foods ","Canada","Million dollars","2015","1080.0999999999999"
"35","Sauces, soups, prepared foods ","Canada","Million dollars","2014","1106.9000000000001"
"36","Sauces, soups, prepared foods ","Canada","Million dollars","2013","1090.4000000000001"
"37","Sauces, soups, prepared foods ","Canada","Million dollars","2012","1076.9000000000001"
"38","Sauces, soups, prepared foods ","Canada","Million dollars","2011","1005"
"39","Sauces, soups, prepared foods ","Canada","Million dollars","2010","909.1"
"40","Sauces, soups, prepared foods ","Canada","Million dollars","2009","857.5"
"41","Sauces, soups, prepared foods ","Canada","Million dollars","2008","953.6"
"42","Sauces, soups, prepared foods ","Canada","Million dollars","2007","883.4"
"43","Sauces, soups, prepared foods ","Canada","Million dollars","2006","879.8"
"44","Sauces, soups, prepared foods ","Canada","Million dollars","2005","781.3"
"45","Sauces, soups, prepared foods ","Canada","Million dollars","2004","669.4"
"46","Sauces, soups, prepared foods ","Canada","Million dollars","2003","483.6"
"47","Sauces, soups, prepared foods ","Canada","Million dollars","2002","435"
"48","Sauces, soups, prepared foods ","Canada","Million dollars","2001","392.5"
