"","group","type","units","Average inflation","year","amount"
"1","Imported food prices ","Live meat animals ","Dollars",NA,"2023","349.73933319999998"
"2","Imported food prices ","Live meat animals ","Dollars",NA,"2022","308.3873188"
"3","Imported food prices ","Live meat animals ","Dollars",NA,"2021","272.25769759999997"
"4","Imported food prices ","Live meat animals ","Dollars",NA,"2020","291.67398919999999"
"5","Imported food prices ","Live meat animals ","Dollars",NA,"2019","315.56757060000001"
"6","Imported food prices ","Live meat animals ","Dollars",NA,"2018","284.76384309999997"
"7","Imported food prices ","Live meat animals ","Dollars",NA,"2017","273.77670339999997"
"8","Imported food prices ","Live meat animals ","Dollars",NA,"2016","286.66066899999998"
"9","Imported food prices ","Live meat animals ","Dollars",NA,"2015","361.88847700000002"
"10","Imported food prices ","Live meat animals ","Dollars",NA,"2014","415.97765670000001"
"11","Imported food prices ","Live meat animals ","Dollars",NA,"2013","315.25916539999997"
"12","Imported food prices ","Live meat animals ","Dollars",NA,"2012","277.1245796"
"13","Imported food prices ","Live meat animals ","Dollars",NA,"2011","239.61283929999999"
"14","Imported food prices ","Live meat animals ","Dollars",NA,"2010","250.97529259999999"
"15","Imported food prices ","Live meat animals ","Dollars",NA,"2009","198.2634731"
"16","Imported food prices ","Live meat animals ","Dollars",NA,"2008","196.07910989999999"
"17","Imported food prices ","Live meat animals ","Dollars",NA,"2007","208.38198"
"18","Imported food prices ","Live meat animals ","Dollars",NA,"2006","197.71517"
"19","Imported food prices ","Live meat animals ","Dollars",NA,"2005","168.00811909999999"
"20","Imported food prices ","Live meat animals ","Dollars",NA,"2004","114.9671103"
"21","Imported food prices ","Live meat animals ","Dollars",NA,"2003","138.42267330000001"
"22","Imported food prices ","Live meat animals ","Dollars",NA,"2002","207.62625109999999"
"23","Imported food prices ","Live meat animals ","Dollars",NA,"2001","228.3033217"
"24","Imported food prices ","Live meat animals ","Dollars",NA,"2000","217.57796930000001"
"25","Imported food prices ","Live meat animals ","Dollars",NA,"1999","196.37197939999999"
"26","Imported food prices ","Meats","Dollars per metric ton",NA,"2023","6335.0765959999999"
"27","Imported food prices ","Meats","Dollars per metric ton",NA,"2022","6388.8863849999998"
"28","Imported food prices ","Meats","Dollars per metric ton",NA,"2021","6351.1964950000001"
"29","Imported food prices ","Meats","Dollars per metric ton",NA,"2020","5503.5242989999997"
"30","Imported food prices ","Meats","Dollars per metric ton",NA,"2019","5385.0737959999997"
"31","Imported food prices ","Meats","Dollars per metric ton",NA,"2018","5079.782561"
"32","Imported food prices ","Meats","Dollars per metric ton",NA,"2017","4803.1172200000001"
"33","Imported food prices ","Meats","Dollars per metric ton",NA,"2016","4705.8307759999998"
"34","Imported food prices ","Meats","Dollars per metric ton",NA,"2015","5142.9380279999996"
"35","Imported food prices ","Meats","Dollars per metric ton",NA,"2014","5197.244506"
"36","Imported food prices ","Meats","Dollars per metric ton",NA,"2013","4662.5490900000004"
"37","Imported food prices ","Meats","Dollars per metric ton",NA,"2012","4672.452491"
"38","Imported food prices ","Meats","Dollars per metric ton",NA,"2011","4531.2967479999998"
"39","Imported food prices ","Meats","Dollars per metric ton",NA,"2010","3709.6609549999998"
"40","Imported food prices ","Meats","Dollars per metric ton",NA,"2009","3190.8814170000001"
"41","Imported food prices ","Meats","Dollars per metric ton",NA,"2008","3584.9511120000002"
"42","Imported food prices ","Meats","Dollars per metric ton",NA,"2007","3296.5237689999999"
"43","Imported food prices ","Meats","Dollars per metric ton",NA,"2006","3222.072017"
"44","Imported food prices ","Meats","Dollars per metric ton",NA,"2005","3200.6566130000001"
"45","Imported food prices ","Meats","Dollars per metric ton",NA,"2004","3109.2322749999998"
"46","Imported food prices ","Meats","Dollars per metric ton",NA,"2003","2667.8719940000001"
"47","Imported food prices ","Meats","Dollars per metric ton",NA,"2002","2519.7058820000002"
"48","Imported food prices ","Meats","Dollars per metric ton",NA,"2001","2604.7735619999999"
"49","Imported food prices ","Meats","Dollars per metric ton",NA,"2000","2425.5116910000002"
