"","group","country","units","year","amount"
"1","Total sweeteners and candy ","Mexico","Million dollars","2023","2161.6999999999998"
"2","Total sweeteners and candy ","Mexico","Million dollars","2022","2142.9"
"3","Total sweeteners and candy ","Mexico","Million dollars","2021","1625.4"
"4","Total sweeteners and candy ","Mexico","Million dollars","2020","1533.8"
"5","Total sweeteners and candy ","Mexico","Million dollars","2019","1347.9"
"6","Total sweeteners and candy ","Mexico","Million dollars","2018","1397.3"
"7","Total sweeteners and candy ","Mexico","Million dollars","2017","1296.9000000000001"
"8","Total sweeteners and candy ","Mexico","Million dollars","2016","1367.2"
"9","Total sweeteners and candy ","Mexico","Million dollars","2015","1434.7"
"10","Total sweeteners and candy ","Mexico","Million dollars","2014","1394.6"
"11","Total sweeteners and candy ","Mexico","Million dollars","2013","1696.1"
"12","Total sweeteners and candy ","Mexico","Million dollars","2012","1353.1"
"13","Total sweeteners and candy ","Mexico","Million dollars","2011","1742.7"
"14","Total sweeteners and candy ","Mexico","Million dollars","2010","1166.7"
"15","Total sweeteners and candy ","Mexico","Million dollars","2009","903.6"
"16","Total sweeteners and candy ","Mexico","Million dollars","2008","804.7"
"17","Total sweeteners and candy ","Mexico","Million dollars","2007","470.4"
"18","Total sweeteners and candy ","Mexico","Million dollars","2006","759.2"
"19","Total sweeteners and candy ","Mexico","Million dollars","2005","458.1"
"20","Total sweeteners and candy ","Mexico","Million dollars","2004","307.7"
"21","Total sweeteners and candy ","Mexico","Million dollars","2003","266.8"
"22","Total sweeteners and candy ","Mexico","Million dollars","2002","295.7"
"23","Total sweeteners and candy ","Mexico","Million dollars","2001","215.5"
"24","Total sweeteners and candy ","Mexico","Million dollars","2000","174.9"
"25","Total sweeteners and candy ","Mexico","Million dollars","1999","176.4"
"26","Total sweeteners and candy ","Canada","Million dollars","2023","1043.8"
"27","Total sweeteners and candy ","Canada","Million dollars","2022","1006.3"
"28","Total sweeteners and candy ","Canada","Million dollars","2021","869.7"
"29","Total sweeteners and candy ","Canada","Million dollars","2020","764.5"
"30","Total sweeteners and candy ","Canada","Million dollars","2019","785.8"
"31","Total sweeteners and candy ","Canada","Million dollars","2018","823.8"
"32","Total sweeteners and candy ","Canada","Million dollars","2017","814"
"33","Total sweeteners and candy ","Canada","Million dollars","2016","825.6"
"34","Total sweeteners and candy ","Canada","Million dollars","2015","828.6"
"35","Total sweeteners and candy ","Canada","Million dollars","2014","821.6"
"36","Total sweeteners and candy ","Canada","Million dollars","2013","825.7"
"37","Total sweeteners and candy ","Canada","Million dollars","2012","840.2"
"38","Total sweeteners and candy ","Canada","Million dollars","2011","763.8"
