"","group","country","units","year","amount"
"1","Total vegetable oils ","Canada","Million dollars","2023","5074.3999999999996"
"2","Total vegetable oils ","Canada","Million dollars","2022","4155.8"
"3","Total vegetable oils ","Canada","Million dollars","2021","3101.9"
"4","Total vegetable oils ","Canada","Million dollars","2020","1693.1"
"5","Total vegetable oils ","Canada","Million dollars","2019","1743.7"
"6","Total vegetable oils ","Canada","Million dollars","2018","1724.8"
"7","Total vegetable oils ","Canada","Million dollars","2017","1913.9"
"8","Total vegetable oils ","Canada","Million dollars","2016","1751.8"
"9","Total vegetable oils ","Canada","Million dollars","2015","1529.8"
"10","Total vegetable oils ","Canada","Million dollars","2014","1626.5"
"11","Total vegetable oils ","Canada","Million dollars","2013","1667.7"
"12","Total vegetable oils ","Canada","Million dollars","2012","1920.9"
"13","Total vegetable oils ","Canada","Million dollars","2011","2043.2"
"14","Total vegetable oils ","Canada","Million dollars","2010","1091.5"
"15","Total vegetable oils ","Canada","Million dollars","2009","958.3"
"16","Total vegetable oils ","Canada","Million dollars","2008","1416"
"17","Total vegetable oils ","Canada","Million dollars","2007","681.3"
"18","Total vegetable oils ","Canada","Million dollars","2006","463.1"
"19","Total vegetable oils ","Canada","Million dollars","2005","338"
"20","Total vegetable oils ","Canada","Million dollars","2004","361.2"
"21","Total vegetable oils ","Canada","Million dollars","2003","273.60000000000002"
"22","Total vegetable oils ","Canada","Million dollars","2002","223.4"
"23","Total vegetable oils ","Canada","Million dollars","2001","205.2"
"24","Total vegetable oils ","Canada","Million dollars","2000","213.5"
"25","Total vegetable oils ","Canada","Million dollars","1999","275"
"26","Total vegetable oils ","Indonesia","Million dollars","2023","2135.3000000000002"
"27","Total vegetable oils ","Indonesia","Million dollars","2022","2927.6"
"28","Total vegetable oils ","Indonesia","Million dollars","2021","2004.9"
"29","Total vegetable oils ","Indonesia","Million dollars","2020","945.9"
"30","Total vegetable oils ","Indonesia","Million dollars","2019","882.4"
"31","Total vegetable oils ","Indonesia","Million dollars","2018","1065.3"
"32","Total vegetable oils ","Indonesia","Million dollars","2017","1275.8"
"33","Total vegetable oils ","Indonesia","Million dollars","2016","906.8"
"34","Total vegetable oils ","Indonesia","Million dollars","2015","663.2"
"35","Total vegetable oils ","Indonesia","Million dollars","2014","664.5"
"36","Total vegetable oils ","Indonesia","Million dollars","2013","456.2"
"37","Total vegetable oils ","Indonesia","Million dollars","2012","191.6"
"38","Total vegetable oils ","Indonesia","Million dollars","2011","360.9"
"39","Total vegetable oils ","Indonesia","Million dollars","2010","105.7"
"40","Total vegetable oils ","Indonesia","Million dollars","2009","184.8"
"41","Total vegetable oils ","Indonesia","Million dollars","2008","240"
"42","Total vegetable oils ","Indonesia","Million dollars","2007","102"
"43","Total vegetable oils ","Indonesia","Million dollars","2006","95.9"
"44","Total vegetable oils ","Indonesia","Million dollars","2005","95.9"
"45","Total vegetable oils ","Indonesia","Million dollars","2004","50.7"
"46","Total vegetable oils ","Indonesia","Million dollars","2003","24.9"
"47","Total vegetable oils ","Indonesia","Million dollars","2002","35.4"
"48","Total vegetable oils ","Indonesia","Million dollars","2001","23"
"49","Total vegetable oils ","Indonesia","Million dollars","2000","92.9"
"50","Total vegetable oils ","Indonesia","Million dollars","1999","83.7"
"51","Total vegetable oils ","Spain","Million dollars","2023","816.5"
"52","Total vegetable oils ","Spain","Million dollars","2022","856"
"53","Total vegetable oils ","Spain","Million dollars","2021","489.4"
"54","Total vegetable oils ","Spain","Million dollars","2020","321.2"
"55","Total vegetable oils ","Spain","Million dollars","2019","538.20000000000005"
"56","Total vegetable oils ","Spain","Million dollars","2018","553.29999999999995"
"57","Total vegetable oils ","Spain","Million dollars","2017","576.70000000000005"
"58","Total vegetable oils ","Spain","Million dollars","2016","532.79999999999995"
"59","Total vegetable oils ","Spain","Million dollars","2015","341"
"60","Total vegetable oils ","Spain","Million dollars","2014","424.5"
"61","Total vegetable oils ","Spain","Million dollars","2013","227.6"
"62","Total vegetable oils ","Spain","Million dollars","2012","226.9"
"63","Total vegetable oils ","Spain","Million dollars","2011","196.1"
"64","Total vegetable oils ","Spain","Million dollars","2010","208.1"
"65","Total vegetable oils ","Spain","Million dollars","2009","166.8"
"66","Total vegetable oils ","Spain","Million dollars","2008","197.9"
"67","Total vegetable oils ","Spain","Million dollars","2007","168.3"
"68","Total vegetable oils ","Spain","Million dollars","2006","178.6"
"69","Total vegetable oils ","Spain","Million dollars","2005","151.1"
"70","Total vegetable oils ","Spain","Million dollars","2004","126.3"
"71","Total vegetable oils ","Spain","Million dollars","2003","96.5"
"72","Total vegetable oils ","Spain","Million dollars","2002","84.7"
"73","Total vegetable oils ","Spain","Million dollars","2001","56"
"74","Total vegetable oils ","Spain","Million dollars","2000","63.7"
"75","Total vegetable oils ","Spain","Million dollars","1999","56.8"
"76","Total vegetable oils ","Italy","Million dollars","2023","807.6"
"77","Total vegetable oils ","Italy","Million dollars","2022","686.9"
"78","Total vegetable oils ","Italy","Million dollars","2021","552.29999999999995"
"79","Total vegetable oils ","Italy","Million dollars","2020","528.20000000000005"
"80","Total vegetable oils ","Italy","Million dollars","2019","497"
"81","Total vegetable oils ","Italy","Million dollars","2018","555.9"
"82","Total vegetable oils ","Italy","Million dollars","2017","582.29999999999995"
"83","Total vegetable oils ","Italy","Million dollars","2016","565.20000000000005"
"84","Total vegetable oils ","Italy","Million dollars","2015","533.70000000000005"
"85","Total vegetable oils ","Italy","Million dollars","2014","542.79999999999995"
"86","Total vegetable oils ","Italy","Million dollars","2013","560.4"
"87","Total vegetable oils ","Italy","Million dollars","2012","532.79999999999995"
"88","Total vegetable oils ","Italy","Million dollars","2011","524.79999999999995"
"89","Total vegetable oils ","Italy","Million dollars","2010","491.8"
"90","Total vegetable oils ","Italy","Million dollars","2009","526.9"
"91","Total vegetable oils ","Italy","Million dollars","2008","629.6"
"92","Total vegetable oils ","Italy","Million dollars","2007","583.6"
"93","Total vegetable oils ","Italy","Million dollars","2006","629.79999999999995"
"94","Total vegetable oils ","Italy","Million dollars","2005","566.9"
"95","Total vegetable oils ","Italy","Million dollars","2004","484.8"
"96","Total vegetable oils ","Italy","Million dollars","2003","365.9"
"97","Total vegetable oils ","Italy","Million dollars","2002","318.39999999999998"
"98","Total vegetable oils ","Italy","Million dollars","2001","275.5"
"99","Total vegetable oils ","Italy","Million dollars","2000","312.60000000000002"
"100","Total vegetable oils ","Italy","Million dollars","1999","231"
"101","Total vegetable oils ","Mexico","Million dollars","2023","387.3"
"102","Total vegetable oils ","Mexico","Million dollars","2022","314.5"
"103","Total vegetable oils ","Mexico","Million dollars","2021","234.8"
"104","Total vegetable oils ","Mexico","Million dollars","2020","225.9"
"105","Total vegetable oils ","Mexico","Million dollars","2019","166.1"
"106","Total vegetable oils ","Mexico","Million dollars","2018","154.1"
"107","Total vegetable oils ","Mexico","Million dollars","2017","115.6"
"108","Total vegetable oils ","Mexico","Million dollars","2016","113"
"109","Total vegetable oils ","Mexico","Million dollars","2015","92.6"
"110","Total vegetable oils ","Mexico","Million dollars","2014","90.5"
"111","Total vegetable oils ","Mexico","Million dollars","2013","82.6"
