"","group","country","units","year","amount"
"1","Total vegetables and preparations ","Mexico","Million dollars","2023","9851.2000000000007"
"2","Total vegetables and preparations ","Mexico","Million dollars","2022","9018.1"
"3","Total vegetables and preparations ","Mexico","Million dollars","2021","8612.2000000000007"
"4","Total vegetables and preparations ","Mexico","Million dollars","2020","8168.6"
"5","Total vegetables and preparations ","Mexico","Million dollars","2019","7243.7"
"6","Total vegetables and preparations ","Mexico","Million dollars","2018","6772.6"
"7","Total vegetables and preparations ","Mexico","Million dollars","2017","6308.2"
"8","Total vegetables and preparations ","Mexico","Million dollars","2016","6470.8"
"9","Total vegetables and preparations ","Mexico","Million dollars","2015","5650.7"
"10","Total vegetables and preparations ","Mexico","Million dollars","2014","5451.7"
"11","Total vegetables and preparations ","Mexico","Million dollars","2013","5330.4"
"12","Total vegetables and preparations ","Mexico","Million dollars","2012","4761.6000000000004"
"13","Total vegetables and preparations ","Mexico","Million dollars","2011","4754.5"
"14","Total vegetables and preparations ","Mexico","Million dollars","2010","4231.6000000000004"
"15","Total vegetables and preparations ","Mexico","Million dollars","2009","3400.8"
"16","Total vegetables and preparations ","Mexico","Million dollars","2008","3484.7"
"17","Total vegetables and preparations ","Mexico","Million dollars","2007","3299.1"
"18","Total vegetables and preparations ","Mexico","Million dollars","2006","3037.7"
"19","Total vegetables and preparations ","Mexico","Million dollars","2005","2806.6"
"20","Total vegetables and preparations ","Mexico","Million dollars","2004","2605.6"
"21","Total vegetables and preparations ","Mexico","Million dollars","2003","2283.8000000000002"
"22","Total vegetables and preparations ","Mexico","Million dollars","2002","1929.4"
"23","Total vegetables and preparations ","Mexico","Million dollars","2001","1924.4"
"24","Total vegetables and preparations ","Mexico","Million dollars","2000","1696.1"
"25","Total vegetables and preparations ","Mexico","Million dollars","1999","1606.7"
"26","Total vegetables and preparations ","Canada","Million dollars","2023","5035.8"
"27","Total vegetables and preparations ","Canada","Million dollars","2022","4363.5"
"28","Total vegetables and preparations ","Canada","Million dollars","2021","3802"
